Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 10/1/2008 USD/barrel",,,"Crude Oil, WTI (NYM) 9/2/2008 USD/barrel",,,"Crude Oil, WTI (NYM) 8/1/2008 USD/barrel",,,"Crude Oil, WTI (NYM) 7/1/2008 USD/barrel",,,"Crude Oil, WTI (NYM) 6/2/2008 USD/barrel",,,"Crude Oil, WTI (NYM) 5/1/2008 USD/barrel",,,"Crude Oil, WTI (NYM) 4/1/2008 USD/barrel",,,"Crude Oil, WTI (NYM) 2/1/2008 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLH08 Comdty,3/2008,88.96
2M,,,,,,,,,,,,,,,,,,,,,,CLJ08 Comdty,4/2008,89
3M,,,,,,,,,,,,,,,,,,,CLK08 Comdty,5/2008,100.98,CLK08 Comdty,5/2008,88.92
4M,,,,,,,,,,,,,,,,CLM08 Comdty,6/2008,112.52,CLM08 Comdty,6/2008,100.5,CLM08 Comdty,6/2008,88.79
5M,,,,,,,,,,,,,CLN08 Comdty,7/2008,127.76,CLN08 Comdty,7/2008,111.8,CLN08 Comdty,7/2008,100,CLN08 Comdty,7/2008,88.64
6M,,,,,,,,,,CLQ08 Comdty,8/2008,140.97,CLQ08 Comdty,8/2008,128.05,CLQ08 Comdty,8/2008,111.08,CLQ08 Comdty,8/2008,99.51,CLQ08 Comdty,8/2008,88.5
7M,,,,,,,CLU08 Comdty,9/2008,125.1,CLU08 Comdty,9/2008,141.58,CLU08 Comdty,9/2008,128.11,CLU08 Comdty,9/2008,110.5,CLU08 Comdty,9/2008,99.06,CLU08 Comdty,9/2008,88.37
8M,,,,CLV08 Comdty,10/2008,109.71,CLV08 Comdty,10/2008,125.5,CLV08 Comdty,10/2008,141.98,CLV08 Comdty,10/2008,128.04,CLV08 Comdty,10/2008,109.98,CLV08 Comdty,10/2008,98.63,CLV08 Comdty,10/2008,88.25
9M,CLX08 Comdty,11/2008,98.53,CLX08 Comdty,11/2008,110.3,CLX08 Comdty,11/2008,125.94,CLX08 Comdty,11/2008,142.28,CLX08 Comdty,11/2008,127.94,CLX08 Comdty,11/2008,109.49,CLX08 Comdty,11/2008,98.22,CLX08 Comdty,11/2008,88.13
10M,CLZ08 Comdty,12/2008,97.92,CLZ08 Comdty,12/2008,110.97,CLZ08 Comdty,12/2008,126.3,CLZ08 Comdty,12/2008,142.47,CLZ08 Comdty,12/2008,127.82,CLZ08 Comdty,12/2008,109.04,CLZ08 Comdty,12/2008,97.81,CLZ08 Comdty,12/2008,88.01
11M,CLF09 Comdty,1/2009,98,CLF09 Comdty,1/2009,111.55,CLF09 Comdty,1/2009,126.54,CLF09 Comdty,1/2009,142.59,CLF09 Comdty,1/2009,127.64,CLF09 Comdty,1/2009,108.57,CLF09 Comdty,1/2009,97.38,CLF09 Comdty,1/2009,87.89
