Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 5/1/2007 USD/barrel",,,"Crude Oil, WTI (NYM) 4/2/2007 USD/barrel",,,"Crude Oil, WTI (NYM) 3/1/2007 USD/barrel",,,"Crude Oil, WTI (NYM) 2/1/2007 USD/barrel",,,"Crude Oil, WTI (NYM) 1/3/2007 USD/barrel",,,"Crude Oil, WTI (NYM) 12/1/2006 USD/barrel",,,"Crude Oil, WTI (NYM) 11/1/2006 USD/barrel",,,"Crude Oil, WTI (NYM) 10/2/2006 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLX06 Comdty,11/2006,61.03
2M,,,,,,,,,,,,,,,,,,,CLZ06 Comdty,12/2006,58.71,CLZ06 Comdty,12/2006,62.32
3M,,,,,,,,,,,,,,,,CLF07 Comdty,1/2007,63.43,CLF07 Comdty,1/2007,60.55,CLF07 Comdty,1/2007,63.36
4M,,,,,,,,,,,,,CLG07 Comdty,2/2007,58.32,CLG07 Comdty,2/2007,65.01,CLG07 Comdty,2/2007,61.84,CLG07 Comdty,2/2007,64.23
5M,,,,,,,,,,CLH07 Comdty,3/2007,57.3,CLH07 Comdty,3/2007,59.41,CLH07 Comdty,3/2007,66.07,CLH07 Comdty,3/2007,62.84,CLH07 Comdty,3/2007,64.95
6M,,,,,,,CLJ07 Comdty,4/2007,62,CLJ07 Comdty,4/2007,58.02,CLJ07 Comdty,4/2007,60.34,CLJ07 Comdty,4/2007,66.83,CLJ07 Comdty,4/2007,63.64,CLJ07 Comdty,4/2007,65.55
7M,,,,CLK07 Comdty,5/2007,65.94,CLK07 Comdty,5/2007,63.18,CLK07 Comdty,5/2007,58.75,CLK07 Comdty,5/2007,61.05,CLK07 Comdty,5/2007,67.46,CLK07 Comdty,5/2007,64.28,CLK07 Comdty,5/2007,66.07
8M,CLM07 Comdty,6/2007,64.4,CLM07 Comdty,6/2007,67.55,CLM07 Comdty,6/2007,64.06,CLM07 Comdty,6/2007,59.37,CLM07 Comdty,6/2007,61.65,CLM07 Comdty,6/2007,67.99,CLM07 Comdty,6/2007,64.82,CLM07 Comdty,6/2007,66.51
9M,CLN07 Comdty,7/2007,66.11,CLN07 Comdty,7/2007,68.45,CLN07 Comdty,7/2007,64.78,CLN07 Comdty,7/2007,59.91,CLN07 Comdty,7/2007,62.18,CLN07 Comdty,7/2007,68.43,CLN07 Comdty,7/2007,65.29,CLN07 Comdty,7/2007,66.88
10M,CLQ07 Comdty,8/2007,67.17,CLQ07 Comdty,8/2007,68.99,CLQ07 Comdty,8/2007,65.37,CLQ07 Comdty,8/2007,60.41,CLQ07 Comdty,8/2007,62.64,CLQ07 Comdty,8/2007,68.83,CLQ07 Comdty,8/2007,65.69,CLQ07 Comdty,8/2007,67.18
11M,CLU07 Comdty,9/2007,67.95,CLU07 Comdty,9/2007,69.37,CLU07 Comdty,9/2007,65.86,CLU07 Comdty,9/2007,60.85,CLU07 Comdty,9/2007,63.06,CLU07 Comdty,9/2007,69.16,CLU07 Comdty,9/2007,66.04,CLU07 Comdty,9/2007,67.42
1Y,CLV07 Comdty,10/2007,68.53,CLV07 Comdty,10/2007,69.65,CLV07 Comdty,10/2007,66.27,CLV07 Comdty,10/2007,61.26,CLV07 Comdty,10/2007,63.41,CLV07 Comdty,10/2007,69.44,CLV07 Comdty,10/2007,66.35,CLV07 Comdty,10/2007,67.61
13M,CLX07 Comdty,11/2007,69.01,CLX07 Comdty,11/2007,69.86,CLX07 Comdty,11/2007,66.62,CLX07 Comdty,11/2007,61.62,CLX07 Comdty,11/2007,63.72,CLX07 Comdty,11/2007,69.68,CLX07 Comdty,11/2007,66.61,CLX07 Comdty,11/2007,67.77
14M,CLZ07 Comdty,12/2007,69.42,CLZ07 Comdty,12/2007,70.03,CLZ07 Comdty,12/2007,66.92,CLZ07 Comdty,12/2007,61.93,CLZ07 Comdty,12/2007,63.99,CLZ07 Comdty,12/2007,69.89,CLZ07 Comdty,12/2007,66.82,CLZ07 Comdty,12/2007,67.89
15M,CLF08 Comdty,1/2008,69.77,CLF08 Comdty,1/2008,70.16,CLF08 Comdty,1/2008,67.18,CLF08 Comdty,1/2008,62.19,CLF08 Comdty,1/2008,64.21,CLF08 Comdty,1/2008,70.08,CLF08 Comdty,1/2008,67.01,CLF08 Comdty,1/2008,67.97
16M,CLG08 Comdty,2/2008,70.07,CLG08 Comdty,2/2008,70.25,CLG08 Comdty,2/2008,67.37,CLG08 Comdty,2/2008,62.38,CLG08 Comdty,2/2008,64.38,CLG08 Comdty,2/2008,70.23,CLG08 Comdty,2/2008,67.16,CLG08 Comdty,2/2008,68.04
17M,CLH08 Comdty,3/2008,70.31,CLH08 Comdty,3/2008,70.31,CLH08 Comdty,3/2008,67.53,CLH08 Comdty,3/2008,62.54,CLH08 Comdty,3/2008,64.51,CLH08 Comdty,3/2008,70.34,CLH08 Comdty,3/2008,67.29,CLH08 Comdty,3/2008,68.07
18M,CLJ08 Comdty,4/2008,70.51,CLJ08 Comdty,4/2008,70.36,CLJ08 Comdty,4/2008,67.65,CLJ08 Comdty,4/2008,62.64,CLJ08 Comdty,4/2008,64.64,CLJ08 Comdty,4/2008,70.42,CLJ08 Comdty,4/2008,67.39,CLJ08 Comdty,4/2008,68.1
19M,CLK08 Comdty,5/2008,70.69,CLK08 Comdty,5/2008,70.41,CLK08 Comdty,5/2008,67.76,CLK08 Comdty,5/2008,62.72,CLK08 Comdty,5/2008,64.74,CLK08 Comdty,5/2008,70.49,CLK08 Comdty,5/2008,67.48,CLK08 Comdty,5/2008,68.1
20M,CLM08 Comdty,6/2008,70.87,CLM08 Comdty,6/2008,70.46,CLM08 Comdty,6/2008,67.87,CLM08 Comdty,6/2008,62.8,CLM08 Comdty,6/2008,64.82,CLM08 Comdty,6/2008,70.54,CLM08 Comdty,6/2008,67.55,CLM08 Comdty,6/2008,68.08
21M,CLN08 Comdty,7/2008,70.99,CLN08 Comdty,7/2008,70.46,CLN08 Comdty,7/2008,67.96,CLN08 Comdty,7/2008,62.84,CLN08 Comdty,7/2008,64.86,CLN08 Comdty,7/2008,70.57,CLN08 Comdty,7/2008,67.6,CLN08 Comdty,7/2008,68.02
22M,CLQ08 Comdty,8/2008,71.07,CLQ08 Comdty,8/2008,70.42,CLQ08 Comdty,8/2008,68.01,CLQ08 Comdty,8/2008,62.85,CLQ08 Comdty,8/2008,64.88,CLQ08 Comdty,8/2008,70.57,CLQ08 Comdty,8/2008,67.64,CLQ08 Comdty,8/2008,67.96
23M,CLU08 Comdty,9/2008,71.14,CLU08 Comdty,9/2008,70.38,CLU08 Comdty,9/2008,68.06,CLU08 Comdty,9/2008,62.86,CLU08 Comdty,9/2008,64.87,CLU08 Comdty,9/2008,70.57,CLU08 Comdty,9/2008,67.67,CLU08 Comdty,9/2008,67.88
2Y,CLV08 Comdty,10/2008,71.18,CLV08 Comdty,10/2008,70.34,CLV08 Comdty,10/2008,68.09,CLV08 Comdty,10/2008,62.87,CLV08 Comdty,10/2008,64.85,CLV08 Comdty,10/2008,70.54,CLV08 Comdty,10/2008,67.66,CLV08 Comdty,10/2008,67.79
25M,CLX08 Comdty,11/2008,71.21,CLX08 Comdty,11/2008,70.3,CLX08 Comdty,11/2008,68.13,CLX08 Comdty,11/2008,62.88,CLX08 Comdty,11/2008,64.83,CLX08 Comdty,11/2008,70.51,CLX08 Comdty,11/2008,67.65,CLX08 Comdty,11/2008,67.69
26M,CLZ08 Comdty,12/2008,71.22,CLZ08 Comdty,12/2008,70.26,CLZ08 Comdty,12/2008,68.17,CLZ08 Comdty,12/2008,62.89,CLZ08 Comdty,12/2008,64.81,CLZ08 Comdty,12/2008,70.47,CLZ08 Comdty,12/2008,67.63,CLZ08 Comdty,12/2008,67.59
27M,CLF09 Comdty,1/2009,71.21,CLF09 Comdty,1/2009,70.19,CLF09 Comdty,1/2009,68.17,CLF09 Comdty,1/2009,62.88,CLF09 Comdty,1/2009,64.79,CLF09 Comdty,1/2009,70.41,CLF09 Comdty,1/2009,67.56,CLF09 Comdty,1/2009,67.48
28M,CLG09 Comdty,2/2009,71.19,CLG09 Comdty,2/2009,70.11,CLG09 Comdty,2/2009,68.17,CLG09 Comdty,2/2009,62.87,CLG09 Comdty,2/2009,64.75,CLG09 Comdty,2/2009,70.36,CLG09 Comdty,2/2009,67.48,CLG09 Comdty,2/2009,67.36
29M,CLH09 Comdty,3/2009,71.16,CLH09 Comdty,3/2009,70.03,CLH09 Comdty,3/2009,68.16,CLH09 Comdty,3/2009,62.86,CLH09 Comdty,3/2009,64.7,CLH09 Comdty,3/2009,70.31,CLH09 Comdty,3/2009,67.41,CLH09 Comdty,3/2009,67.23
30M,CLJ09 Comdty,4/2009,71.11,CLJ09 Comdty,4/2009,69.94,CLJ09 Comdty,4/2009,68.15,CLJ09 Comdty,4/2009,62.85,CLJ09 Comdty,4/2009,64.65,CLJ09 Comdty,4/2009,70.26,CLJ09 Comdty,4/2009,67.34,CLJ09 Comdty,4/2009,67.1
