Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 9/1/2004 USD/barrel",,,"Crude Oil, WTI (NYM) 8/2/2004 USD/barrel",,,"Crude Oil, WTI (NYM) 7/1/2004 USD/barrel",,,"Crude Oil, WTI (NYM) 6/1/2004 USD/barrel",,,"Crude Oil, WTI (NYM) 5/3/2004 USD/barrel",,,"Crude Oil, WTI (NYM) 4/2/2004 USD/barrel",,,"Crude Oil, WTI (NYM) 3/2/2004 USD/barrel",,,"Crude Oil, WTI (NYM) 2/2/2004 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLH04 Comdty,3/2004,34.98
2M,,,,,,,,,,,,,,,,,,,CLJ04 Comdty,4/2004,36.66,CLJ04 Comdty,4/2004,33.48
3M,,,,,,,,,,,,,,,,CLK04 Comdty,5/2004,34.39,CLK04 Comdty,5/2004,35.99,CLK04 Comdty,5/2004,32.75
4M,,,,,,,,,,,,,CLM04 Comdty,6/2004,38.21,CLM04 Comdty,6/2004,33.87,CLM04 Comdty,6/2004,35.23,CLM04 Comdty,6/2004,32.18
5M,,,,,,,,,,CLN04 Comdty,7/2004,42.33,CLN04 Comdty,7/2004,37.99,CLN04 Comdty,7/2004,33.44,CLN04 Comdty,7/2004,34.57,CLN04 Comdty,7/2004,31.67
6M,,,,,,,CLQ04 Comdty,8/2004,38.74,CLQ04 Comdty,8/2004,42.19,CLQ04 Comdty,8/2004,37.58,CLQ04 Comdty,8/2004,33.02,CLQ04 Comdty,8/2004,34,CLQ04 Comdty,8/2004,31.2
7M,,,,CLU04 Comdty,9/2004,43.82,CLU04 Comdty,9/2004,38.83,CLU04 Comdty,9/2004,41.77,CLU04 Comdty,9/2004,37.07,CLU04 Comdty,9/2004,32.67,CLU04 Comdty,9/2004,33.51,CLU04 Comdty,9/2004,30.82
8M,CLV04 Comdty,10/2004,44,CLV04 Comdty,10/2004,43.16,CLV04 Comdty,10/2004,38.6,CLV04 Comdty,10/2004,41.2,CLV04 Comdty,10/2004,36.62,CLV04 Comdty,10/2004,32.37,CLV04 Comdty,10/2004,33.11,CLV04 Comdty,10/2004,30.54
9M,CLX04 Comdty,11/2004,43.96,CLX04 Comdty,11/2004,42.63,CLX04 Comdty,11/2004,38.34,CLX04 Comdty,11/2004,40.62,CLX04 Comdty,11/2004,36.2,CLX04 Comdty,11/2004,32.1,CLX04 Comdty,11/2004,32.75,CLX04 Comdty,11/2004,30.3
10M,CLZ04 Comdty,12/2004,43.65,CLZ04 Comdty,12/2004,42.14,CLZ04 Comdty,12/2004,38.06,CLZ04 Comdty,12/2004,40.05,CLZ04 Comdty,12/2004,35.8,CLZ04 Comdty,12/2004,31.84,CLZ04 Comdty,12/2004,32.42,CLZ04 Comdty,12/2004,30.09
11M,CLF05 Comdty,1/2005,43.23,CLF05 Comdty,1/2005,41.62,CLF05 Comdty,1/2005,37.67,CLF05 Comdty,1/2005,39.43,CLF05 Comdty,1/2005,35.32,CLF05 Comdty,1/2005,31.52,CLF05 Comdty,1/2005,32.07,CLF05 Comdty,1/2005,29.82
1Y,CLG05 Comdty,2/2005,42.83,CLG05 Comdty,2/2005,41.18,CLG05 Comdty,2/2005,37.32,CLG05 Comdty,2/2005,38.87,CLG05 Comdty,2/2005,34.88,CLG05 Comdty,2/2005,31.25,CLG05 Comdty,2/2005,31.77,CLG05 Comdty,2/2005,29.62
13M,CLH05 Comdty,3/2005,42.43,CLH05 Comdty,3/2005,40.77,CLH05 Comdty,3/2005,37,CLH05 Comdty,3/2005,38.39,CLH05 Comdty,3/2005,34.48,CLH05 Comdty,3/2005,31.02,CLH05 Comdty,3/2005,31.48,CLH05 Comdty,3/2005,29.43
14M,CLJ05 Comdty,4/2005,42.04,CLJ05 Comdty,4/2005,40.39,CLJ05 Comdty,4/2005,36.69,CLJ05 Comdty,4/2005,37.97,CLJ05 Comdty,4/2005,34.08,CLJ05 Comdty,4/2005,30.81,CLJ05 Comdty,4/2005,31.19,CLJ05 Comdty,4/2005,29.25
15M,CLK05 Comdty,5/2005,41.65,CLK05 Comdty,5/2005,40.02,CLK05 Comdty,5/2005,36.41,CLK05 Comdty,5/2005,37.57,CLK05 Comdty,5/2005,33.69,CLK05 Comdty,5/2005,30.61,CLK05 Comdty,5/2005,30.91,CLK05 Comdty,5/2005,29.07
16M,CLM05 Comdty,6/2005,41.26,CLM05 Comdty,6/2005,39.67,CLM05 Comdty,6/2005,36.16,CLM05 Comdty,6/2005,37.21,CLM05 Comdty,6/2005,33.33,CLM05 Comdty,6/2005,30.41,CLM05 Comdty,6/2005,30.64,CLM05 Comdty,6/2005,28.89
17M,CLN05 Comdty,7/2005,40.86,CLN05 Comdty,7/2005,39.37,CLN05 Comdty,7/2005,35.93,CLN05 Comdty,7/2005,36.91,CLN05 Comdty,7/2005,33.06,CLN05 Comdty,7/2005,30.24,CLN05 Comdty,7/2005,30.39,CLN05 Comdty,7/2005,28.73
18M,CLQ05 Comdty,8/2005,40.51,CLQ05 Comdty,8/2005,39.12,CLQ05 Comdty,8/2005,35.71,CLQ05 Comdty,8/2005,36.62,CLQ05 Comdty,8/2005,32.8,CLQ05 Comdty,8/2005,30.1,CLQ05 Comdty,8/2005,30.16,CLQ05 Comdty,8/2005,28.57
19M,CLU05 Comdty,9/2005,40.22,CLU05 Comdty,9/2005,38.9,CLU05 Comdty,9/2005,35.5,CLU05 Comdty,9/2005,36.35,CLU05 Comdty,9/2005,32.56,CLU05 Comdty,9/2005,29.97,CLU05 Comdty,9/2005,29.94,CLU05 Comdty,9/2005,28.41
20M,CLV05 Comdty,10/2005,39.94,CLV05 Comdty,10/2005,38.7,CLV05 Comdty,10/2005,35.3,CLV05 Comdty,10/2005,36.11,CLV05 Comdty,10/2005,32.32,CLV05 Comdty,10/2005,29.84,CLV05 Comdty,10/2005,29.73,CLV05 Comdty,10/2005,28.29
21M,CLX05 Comdty,11/2005,39.66,CLX05 Comdty,11/2005,38.51,CLX05 Comdty,11/2005,35.1,CLX05 Comdty,11/2005,35.88,CLX05 Comdty,11/2005,32.1,CLX05 Comdty,11/2005,29.71,CLX05 Comdty,11/2005,29.54,CLX05 Comdty,11/2005,28.17
22M,CLZ05 Comdty,12/2005,39.4,CLZ05 Comdty,12/2005,38.34,CLZ05 Comdty,12/2005,34.91,CLZ05 Comdty,12/2005,35.66,CLZ05 Comdty,12/2005,31.91,CLZ05 Comdty,12/2005,29.59,CLZ05 Comdty,12/2005,29.37,CLZ05 Comdty,12/2005,28.07
23M,CLF06 Comdty,1/2006,39.08,CLF06 Comdty,1/2006,38.16,CLF06 Comdty,1/2006,34.7,CLF06 Comdty,1/2006,35.39,CLF06 Comdty,1/2006,31.68,CLF06 Comdty,1/2006,29.46,CLF06 Comdty,1/2006,29.22,CLF06 Comdty,1/2006,27.99
2Y,CLG06 Comdty,2/2006,38.77,CLG06 Comdty,2/2006,37.99,CLG06 Comdty,2/2006,34.5,CLG06 Comdty,2/2006,35.15,CLG06 Comdty,2/2006,31.48,CLG06 Comdty,2/2006,29.35,CLG06 Comdty,2/2006,29.09,CLG06 Comdty,2/2006,27.92
25M,CLH06 Comdty,3/2006,38.48,CLH06 Comdty,3/2006,37.82,CLH06 Comdty,3/2006,34.31,CLH06 Comdty,3/2006,34.93,CLH06 Comdty,3/2006,31.29,CLH06 Comdty,3/2006,29.24,CLH06 Comdty,3/2006,28.97,CLH06 Comdty,3/2006,27.85
26M,CLJ06 Comdty,4/2006,38.22,CLJ06 Comdty,4/2006,37.64,CLJ06 Comdty,4/2006,34.15,CLJ06 Comdty,4/2006,34.74,CLJ06 Comdty,4/2006,31.11,CLJ06 Comdty,4/2006,29.14,CLJ06 Comdty,4/2006,28.86,CLJ06 Comdty,4/2006,27.8
