Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 1/5/2004 USD/barrel",,,"Crude Oil, WTI (NYM) 12/1/2003 USD/barrel",,,"Crude Oil, WTI (NYM) 11/3/2003 USD/barrel",,,"Crude Oil, WTI (NYM) 10/1/2003 USD/barrel",,,"Crude Oil, WTI (NYM) 9/2/2003 USD/barrel",,,"Crude Oil, WTI (NYM) 8/1/2003 USD/barrel",,,"Crude Oil, WTI (NYM) 7/1/2003 USD/barrel",,,"Crude Oil, WTI (NYM) 6/2/2003 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLN03 Comdty,7/2003,30.71
2M,,,,,,,,,,,,,,,,,,,CLQ03 Comdty,8/2003,30.4,CLQ03 Comdty,8/2003,29.59
3M,,,,,,,,,,,,,,,,CLU03 Comdty,9/2003,32.31,CLU03 Comdty,9/2003,30.05,CLU03 Comdty,9/2003,28.67
4M,,,,,,,,,,,,,CLV03 Comdty,10/2003,29.41,CLV03 Comdty,10/2003,31.95,CLV03 Comdty,10/2003,29.45,CLV03 Comdty,10/2003,28.07
5M,,,,,,,,,,CLX03 Comdty,11/2003,29.39,CLX03 Comdty,11/2003,29.35,CLX03 Comdty,11/2003,31.36,CLX03 Comdty,11/2003,28.98,CLX03 Comdty,11/2003,27.6
6M,,,,,,,CLZ03 Comdty,12/2003,28.9,CLZ03 Comdty,12/2003,29.17,CLZ03 Comdty,12/2003,29,CLZ03 Comdty,12/2003,30.79,CLZ03 Comdty,12/2003,28.55,CLZ03 Comdty,12/2003,27.24
7M,,,,CLF04 Comdty,1/2004,29.95,CLF04 Comdty,1/2004,28.74,CLF04 Comdty,1/2004,28.73,CLF04 Comdty,1/2004,28.63,CLF04 Comdty,1/2004,30.19,CLF04 Comdty,1/2004,28.09,CLF04 Comdty,1/2004,26.89
8M,CLG04 Comdty,2/2004,33.78,CLG04 Comdty,2/2004,29.8,CLG04 Comdty,2/2004,28.47,CLG04 Comdty,2/2004,28.32,CLG04 Comdty,2/2004,28.25,CLG04 Comdty,2/2004,29.59,CLG04 Comdty,2/2004,27.65,CLG04 Comdty,2/2004,26.56
9M,CLH04 Comdty,3/2004,33.51,CLH04 Comdty,3/2004,29.47,CLH04 Comdty,3/2004,28.19,CLH04 Comdty,3/2004,27.96,CLH04 Comdty,3/2004,27.87,CLH04 Comdty,3/2004,29.03,CLH04 Comdty,3/2004,27.25,CLH04 Comdty,3/2004,26.28
10M,CLJ04 Comdty,4/2004,33.01,CLJ04 Comdty,4/2004,29.11,CLJ04 Comdty,4/2004,27.91,CLJ04 Comdty,4/2004,27.64,CLJ04 Comdty,4/2004,27.49,CLJ04 Comdty,4/2004,28.49,CLJ04 Comdty,4/2004,26.88,CLJ04 Comdty,4/2004,26
11M,CLK04 Comdty,5/2004,32.41,CLK04 Comdty,5/2004,28.75,CLK04 Comdty,5/2004,27.63,CLK04 Comdty,5/2004,27.34,CLK04 Comdty,5/2004,27.13,CLK04 Comdty,5/2004,28.06,CLK04 Comdty,5/2004,26.55,CLK04 Comdty,5/2004,25.76
1Y,CLM04 Comdty,6/2004,31.82,CLM04 Comdty,6/2004,28.39,CLM04 Comdty,6/2004,27.35,CLM04 Comdty,6/2004,27.09,CLM04 Comdty,6/2004,26.78,CLM04 Comdty,6/2004,27.71,CLM04 Comdty,6/2004,26.3,CLM04 Comdty,6/2004,25.56
13M,CLN04 Comdty,7/2004,31.26,CLN04 Comdty,7/2004,28.03,CLN04 Comdty,7/2004,27.1,CLN04 Comdty,7/2004,26.86,CLN04 Comdty,7/2004,26.45,CLN04 Comdty,7/2004,27.42,CLN04 Comdty,7/2004,26.08,CLN04 Comdty,7/2004,25.41
14M,CLQ04 Comdty,8/2004,30.76,CLQ04 Comdty,8/2004,27.71,CLQ04 Comdty,8/2004,26.88,CLQ04 Comdty,8/2004,26.66,CLQ04 Comdty,8/2004,26.19,CLQ04 Comdty,8/2004,27.16,CLQ04 Comdty,8/2004,25.88,CLQ04 Comdty,8/2004,25.28
15M,CLU04 Comdty,9/2004,30.32,CLU04 Comdty,9/2004,27.45,CLU04 Comdty,9/2004,26.66,CLU04 Comdty,9/2004,26.48,CLU04 Comdty,9/2004,25.96,CLU04 Comdty,9/2004,26.9,CLU04 Comdty,9/2004,25.69,CLU04 Comdty,9/2004,25.15
16M,CLV04 Comdty,10/2004,29.94,CLV04 Comdty,10/2004,27.2,CLV04 Comdty,10/2004,26.48,CLV04 Comdty,10/2004,26.32,CLV04 Comdty,10/2004,25.75,CLV04 Comdty,10/2004,26.67,CLV04 Comdty,10/2004,25.5,CLV04 Comdty,10/2004,25.02
17M,CLX04 Comdty,11/2004,29.65,CLX04 Comdty,11/2004,26.99,CLX04 Comdty,11/2004,26.32,CLX04 Comdty,11/2004,26.16,CLX04 Comdty,11/2004,25.55,CLX04 Comdty,11/2004,26.44,CLX04 Comdty,11/2004,25.31,CLX04 Comdty,11/2004,24.89
18M,CLZ04 Comdty,12/2004,29.42,CLZ04 Comdty,12/2004,26.8,CLZ04 Comdty,12/2004,26.16,CLZ04 Comdty,12/2004,26,CLZ04 Comdty,12/2004,25.35,CLZ04 Comdty,12/2004,26.22,CLZ04 Comdty,12/2004,25.13,CLZ04 Comdty,12/2004,24.77
19M,CLF05 Comdty,1/2005,29.13,CLF05 Comdty,1/2005,26.61,CLF05 Comdty,1/2005,26,CLF05 Comdty,1/2005,25.87,CLF05 Comdty,1/2005,25.18,CLF05 Comdty,1/2005,26.02,CLF05 Comdty,1/2005,24.98,CLF05 Comdty,1/2005,24.68
20M,CLG05 Comdty,2/2005,28.88,CLG05 Comdty,2/2005,26.47,CLG05 Comdty,2/2005,25.9,CLG05 Comdty,2/2005,25.76,CLG05 Comdty,2/2005,25.04,CLG05 Comdty,2/2005,25.82,CLG05 Comdty,2/2005,24.85,CLG05 Comdty,2/2005,24.61
21M,CLH05 Comdty,3/2005,28.65,CLH05 Comdty,3/2005,26.35,CLH05 Comdty,3/2005,25.8,CLH05 Comdty,3/2005,25.65,CLH05 Comdty,3/2005,24.92,CLH05 Comdty,3/2005,25.62,CLH05 Comdty,3/2005,24.73,CLH05 Comdty,3/2005,24.55
22M,CLJ05 Comdty,4/2005,28.44,CLJ05 Comdty,4/2005,26.23,CLJ05 Comdty,4/2005,25.73,CLJ05 Comdty,4/2005,25.55,CLJ05 Comdty,4/2005,24.8,CLJ05 Comdty,4/2005,25.45,CLJ05 Comdty,4/2005,24.61,CLJ05 Comdty,4/2005,24.49
23M,CLK05 Comdty,5/2005,28.24,CLK05 Comdty,5/2005,26.11,CLK05 Comdty,5/2005,25.66,CLK05 Comdty,5/2005,25.45,CLK05 Comdty,5/2005,24.69,CLK05 Comdty,5/2005,25.29,CLK05 Comdty,5/2005,24.5,CLK05 Comdty,5/2005,24.43
2Y,CLM05 Comdty,6/2005,28.06,CLM05 Comdty,6/2005,26,CLM05 Comdty,6/2005,25.59,CLM05 Comdty,6/2005,25.36,CLM05 Comdty,6/2005,24.6,CLM05 Comdty,6/2005,25.14,CLM05 Comdty,6/2005,24.4,CLM05 Comdty,6/2005,24.37
25M,CLN05 Comdty,7/2005,27.91,CLN05 Comdty,7/2005,25.93,CLN05 Comdty,7/2005,25.55,CLN05 Comdty,7/2005,25.3,CLN05 Comdty,7/2005,24.53,CLN05 Comdty,7/2005,25.04,CLN05 Comdty,7/2005,24.34,CLN05 Comdty,7/2005,24.33
26M,CLQ05 Comdty,8/2005,27.77,CLQ05 Comdty,8/2005,25.88,CLQ05 Comdty,8/2005,25.52,CLQ05 Comdty,8/2005,25.27,CLQ05 Comdty,8/2005,24.47,CLQ05 Comdty,8/2005,24.99,CLQ05 Comdty,8/2005,24.31,CLQ05 Comdty,8/2005,24.3
27M,CLU05 Comdty,9/2005,27.64,CLU05 Comdty,9/2005,25.84,CLU05 Comdty,9/2005,25.52,CLU05 Comdty,9/2005,25.25,CLU05 Comdty,9/2005,24.43,CLU05 Comdty,9/2005,24.96,CLU05 Comdty,9/2005,24.29,CLU05 Comdty,9/2005,24.29
28M,CLV05 Comdty,10/2005,27.51,CLV05 Comdty,10/2005,25.79,CLV05 Comdty,10/2005,25.53,CLV05 Comdty,10/2005,25.24,CLV05 Comdty,10/2005,24.39,CLV05 Comdty,10/2005,24.93,CLV05 Comdty,10/2005,24.27,CLV05 Comdty,10/2005,24.28
29M,CLX05 Comdty,11/2005,27.4,CLX05 Comdty,11/2005,25.76,CLX05 Comdty,11/2005,25.54,CLX05 Comdty,11/2005,25.24,CLX05 Comdty,11/2005,24.35,CLX05 Comdty,11/2005,24.9,CLX05 Comdty,11/2005,24.25,CLX05 Comdty,11/2005,24.27
30M,CLZ05 Comdty,12/2005,27.32,CLZ05 Comdty,12/2005,25.75,CLZ05 Comdty,12/2005,25.51,CLZ05 Comdty,12/2005,25.24,CLZ05 Comdty,12/2005,24.32,CLZ05 Comdty,12/2005,24.87,CLZ05 Comdty,12/2005,24.23,CLZ05 Comdty,12/2005,24.26
31M,CLF06 Comdty,1/2006,27.25,CLF06 Comdty,1/2006,25.73,CLF06 Comdty,1/2006,25.53,CLF06 Comdty,1/2006,25.25,CLF06 Comdty,1/2006,24.3,CLF06 Comdty,1/2006,,CLF06 Comdty,1/2006,,,,
32M,CLG06 Comdty,2/2006,27.19,CLG06 Comdty,2/2006,25.72,CLG06 Comdty,2/2006,25.55,CLG06 Comdty,2/2006,25.26,CLG06 Comdty,2/2006,24.28,CLG06 Comdty,2/2006,,,,,,,
33M,CLH06 Comdty,3/2006,27.13,CLH06 Comdty,3/2006,25.71,CLH06 Comdty,3/2006,25.57,CLH06 Comdty,3/2006,25.27,CLH06 Comdty,3/2006,24.27,,,,,,,,,
34M,CLJ06 Comdty,4/2006,27.08,CLJ06 Comdty,4/2006,25.71,CLJ06 Comdty,4/2006,,CLJ06 Comdty,4/2006,,,,,,,,,,,,,
35M,CLK06 Comdty,5/2006,27.03,CLK06 Comdty,5/2006,25.71,CLK06 Comdty,5/2006,,,,,,,,,,,,,,,,
3Y,CLM06 Comdty,6/2006,26.99,CLM06 Comdty,6/2006,25.7,CLM06 Comdty,6/2006,25.6,CLM06 Comdty,6/2006,25.33,CLM06 Comdty,6/2006,24.26,CLM06 Comdty,6/2006,24.77,CLM06 Comdty,6/2006,24.16,CLM06 Comdty,6/2006,24.24
37M,CLN06 Comdty,7/2006,,,,,,,,,,,,,,,,,,,,,,
