Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 10/1/2010 USD/barrel",,,"Crude Oil, WTI (NYM) 9/1/2010 USD/barrel",,,"Crude Oil, WTI (NYM) 8/2/2010 USD/barrel",,,"Crude Oil, WTI (NYM) 7/1/2010 USD/barrel",,,"Crude Oil, WTI (NYM) 6/1/2010 USD/barrel",,,"Crude Oil, WTI (NYM) 5/3/2010 USD/barrel",,,"Crude Oil, WTI (NYM) 4/1/2010 USD/barrel",,,"Crude Oil, WTI (NYM) 3/1/2010 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLJ10 Comdty,4/2010,78.7
2M,,,,,,,,,,,,,,,,,,,CLK10 Comdty,5/2010,84.87,CLK10 Comdty,5/2010,79.08
3M,,,,,,,,,,,,,,,,CLM10 Comdty,6/2010,86.19,CLM10 Comdty,6/2010,85.34,CLM10 Comdty,6/2010,79.48
4M,,,,,,,,,,,,,CLN10 Comdty,7/2010,72.58,CLN10 Comdty,7/2010,89.15,CLN10 Comdty,7/2010,85.78,CLN10 Comdty,7/2010,79.86
5M,,,,,,,,,,CLQ10 Comdty,8/2010,72.95,CLQ10 Comdty,8/2010,73.9,CLQ10 Comdty,8/2010,90.77,CLQ10 Comdty,8/2010,86.11,CLQ10 Comdty,8/2010,80.18
6M,,,,,,,CLU10 Comdty,9/2010,81.34,CLU10 Comdty,9/2010,73.46,CLU10 Comdty,9/2010,74.9,CLU10 Comdty,9/2010,91.67,CLU10 Comdty,9/2010,86.34,CLU10 Comdty,9/2010,80.47
7M,,,,CLV10 Comdty,10/2010,73.91,CLV10 Comdty,10/2010,81.76,CLV10 Comdty,10/2010,73.93,CLV10 Comdty,10/2010,75.71,CLV10 Comdty,10/2010,92.25,CLV10 Comdty,10/2010,86.52,CLV10 Comdty,10/2010,80.75
8M,CLX10 Comdty,11/2010,81.58,CLX10 Comdty,11/2010,75.36,CLX10 Comdty,11/2010,82.3,CLX10 Comdty,11/2010,74.45,CLX10 Comdty,11/2010,76.45,CLX10 Comdty,11/2010,92.7,CLX10 Comdty,11/2010,86.67,CLX10 Comdty,11/2010,81.05
9M,CLZ10 Comdty,12/2010,82.5,CLZ10 Comdty,12/2010,76.86,CLZ10 Comdty,12/2010,82.82,CLZ10 Comdty,12/2010,74.95,CLZ10 Comdty,12/2010,77.15,CLZ10 Comdty,12/2010,93.06,CLZ10 Comdty,12/2010,86.84,CLZ10 Comdty,12/2010,81.37
10M,CLF11 Comdty,1/2011,83.28,CLF11 Comdty,1/2011,77.9,CLF11 Comdty,1/2011,83.3,CLF11 Comdty,1/2011,75.34,CLF11 Comdty,1/2011,77.65,CLF11 Comdty,1/2011,93.31,CLF11 Comdty,1/2011,86.93,CLF11 Comdty,1/2011,81.57
11M,CLG11 Comdty,2/2011,83.95,CLG11 Comdty,2/2011,78.71,CLG11 Comdty,2/2011,83.74,CLG11 Comdty,2/2011,75.69,CLG11 Comdty,2/2011,78.1,CLG11 Comdty,2/2011,93.55,CLG11 Comdty,2/2011,87.03,CLG11 Comdty,2/2011,81.79
1Y,CLH11 Comdty,3/2011,84.54,CLH11 Comdty,3/2011,79.37,CLH11 Comdty,3/2011,84.15,CLH11 Comdty,3/2011,76.03,CLH11 Comdty,3/2011,78.52,CLH11 Comdty,3/2011,93.77,CLH11 Comdty,3/2011,87.13,CLH11 Comdty,3/2011,82
13M,CLJ11 Comdty,4/2011,85.03,CLJ11 Comdty,4/2011,79.86,CLJ11 Comdty,4/2011,84.54,CLJ11 Comdty,4/2011,76.36,CLJ11 Comdty,4/2011,78.91,CLJ11 Comdty,4/2011,93.98,CLJ11 Comdty,4/2011,87.22,CLJ11 Comdty,4/2011,82.17
14M,CLK11 Comdty,5/2011,85.41,CLK11 Comdty,5/2011,80.32,CLK11 Comdty,5/2011,84.91,CLK11 Comdty,5/2011,76.69,CLK11 Comdty,5/2011,79.27,CLK11 Comdty,5/2011,94.19,CLK11 Comdty,5/2011,87.29,CLK11 Comdty,5/2011,82.32
15M,CLM11 Comdty,6/2011,85.74,CLM11 Comdty,6/2011,80.75,CLM11 Comdty,6/2011,85.26,CLM11 Comdty,6/2011,77.02,CLM11 Comdty,6/2011,79.6,CLM11 Comdty,6/2011,94.39,CLM11 Comdty,6/2011,87.35,CLM11 Comdty,6/2011,82.46
16M,CLN11 Comdty,7/2011,86.05,CLN11 Comdty,7/2011,81.15,CLN11 Comdty,7/2011,85.59,CLN11 Comdty,7/2011,77.31,CLN11 Comdty,7/2011,79.89,CLN11 Comdty,7/2011,94.54,CLN11 Comdty,7/2011,87.4,CLN11 Comdty,7/2011,82.6
17M,CLQ11 Comdty,8/2011,86.32,CLQ11 Comdty,8/2011,81.48,CLQ11 Comdty,8/2011,85.8,CLQ11 Comdty,8/2011,77.5,CLQ11 Comdty,8/2011,80.14,CLQ11 Comdty,8/2011,94.69,CLQ11 Comdty,8/2011,87.46,CLQ11 Comdty,8/2011,82.74
