"","Ticker","Period","Last_Price","Ticker.1","Period.1","Last_Price.1","Ticker.2","Period.2","Last_Price.2","Ticker.3","Period.3","Last_Price.3","Ticker.4","Period.4","Last_Price.4","Ticker.5","Period.5","Last_Price.5","Ticker.6","Period.6","Last_Price.6","Ticker.7","Period.7","Last_Price.7"
"1","CLG06 Comdty","2/2006",63.14,"CLF06 Comdty","1/2006",58.47,"CLZ05 Comdty","12/2005",59.85,"CLX05 Comdty","11/2005",65.47,"CLV05 Comdty","10/2005",69.47,"CLU05 Comdty","9/2005",61.57,"CLQ05 Comdty","8/2005",58.75,"CLN05 Comdty","7/2005",54.6
"2","CLH06 Comdty","3/2006",63.99,"CLG06 Comdty","2/2006",59.35,"CLF06 Comdty","1/2006",60.54,"CLZ05 Comdty","12/2005",65.29,"CLX05 Comdty","11/2005",69.98,"CLV05 Comdty","10/2005",62.7,"CLU05 Comdty","9/2005",59.81,"CLQ05 Comdty","8/2005",55.42
"3","CLJ06 Comdty","4/2006",64.48,"CLH06 Comdty","3/2006",59.84,"CLG06 Comdty","2/2006",60.96,"CLF06 Comdty","1/2006",65.69,"CLZ05 Comdty","12/2005",70.23,"CLX05 Comdty","11/2005",63.43,"CLV05 Comdty","10/2005",60.43,"CLU05 Comdty","9/2005",55.79
"4","CLK06 Comdty","5/2006",64.84,"CLJ06 Comdty","4/2006",60.14,"CLH06 Comdty","3/2006",61.21,"CLG06 Comdty","2/2006",65.97,"CLF06 Comdty","1/2006",70.41,"CLZ05 Comdty","12/2005",63.96,"CLX05 Comdty","11/2005",60.75,"CLV05 Comdty","10/2005",56.01
"5","CLM06 Comdty","6/2006",65.14,"CLK06 Comdty","5/2006",60.38,"CLJ06 Comdty","4/2006",61.39,"CLH06 Comdty","3/2006",66.16,"CLG06 Comdty","2/2006",70.54,"CLF06 Comdty","1/2006",64.32,"CLZ05 Comdty","12/2005",61,"CLX05 Comdty","11/2005",56.17
"6","CLN06 Comdty","7/2006",65.38,"CLM06 Comdty","6/2006",60.58,"CLK06 Comdty","5/2006",61.47,"CLJ06 Comdty","4/2006",66.24,"CLH06 Comdty","3/2006",70.59,"CLG06 Comdty","2/2006",64.54,"CLF06 Comdty","1/2006",61.11,"CLZ05 Comdty","12/2005",56.24
"7","CLQ06 Comdty","8/2006",65.59,"CLN06 Comdty","7/2006",60.75,"CLM06 Comdty","6/2006",61.51,"CLK06 Comdty","5/2006",66.24,"CLJ06 Comdty","4/2006",70.47,"CLH06 Comdty","3/2006",64.61,"CLG06 Comdty","2/2006",61.06,"CLF06 Comdty","1/2006",56.18
"8","CLU06 Comdty","9/2006",65.77,"CLQ06 Comdty","8/2006",60.9,"CLN06 Comdty","7/2006",61.54,"CLM06 Comdty","6/2006",66.17,"CLK06 Comdty","5/2006",70.29,"CLJ06 Comdty","4/2006",64.57,"CLH06 Comdty","3/2006",60.97,"CLG06 Comdty","2/2006",56.05
"9","CLV06 Comdty","10/2006",65.91,"CLU06 Comdty","9/2006",61.02,"CLQ06 Comdty","8/2006",61.54,"CLN06 Comdty","7/2006",66.1,"CLM06 Comdty","6/2006",70.09,"CLK06 Comdty","5/2006",64.5,"CLJ06 Comdty","4/2006",60.83,"CLH06 Comdty","3/2006",55.91
"10","CLX06 Comdty","11/2006",66.02,"CLV06 Comdty","10/2006",61.09,"CLU06 Comdty","9/2006",61.54,"CLQ06 Comdty","8/2006",66,"CLN06 Comdty","7/2006",69.85,"CLM06 Comdty","6/2006",64.41,"CLK06 Comdty","5/2006",60.69,"CLJ06 Comdty","4/2006",55.76
"11","CLZ06 Comdty","12/2006",66.1,"CLX06 Comdty","11/2006",61.14,"CLV06 Comdty","10/2006",61.53,"CLU06 Comdty","9/2006",65.89,"CLQ06 Comdty","8/2006",69.61,"CLN06 Comdty","7/2006",64.31,"CLM06 Comdty","6/2006",60.55,"CLK06 Comdty","5/2006",55.61
"12","CLF07 Comdty","1/2007",66.17,"CLZ06 Comdty","12/2006",61.16,"CLX06 Comdty","11/2006",61.46,"CLV06 Comdty","10/2006",65.77,"CLU06 Comdty","9/2006",69.39,"CLQ06 Comdty","8/2006",64.21,"CLN06 Comdty","7/2006",60.41,"CLM06 Comdty","6/2006",55.46
