"","Ticker","Period","Last_Price","Ticker.1","Period.1","Last_Price.1","Ticker.2","Period.2","Last_Price.2","Ticker.3","Period.3","Last_Price.3","Ticker.4","Period.4","Last_Price.4","Ticker.5","Period.5","Last_Price.5","Ticker.6","Period.6","Last_Price.6","Ticker.7","Period.7","Last_Price.7"
"1","CLX12 Comdty","11/2012",92.48,"CLV12 Comdty","10/2012",95.3,"CLU12 Comdty","9/2012",88.91,"CLQ12 Comdty","8/2012",83.75,"CLN12 Comdty","7/2012",83.23,"CLM12 Comdty","6/2012",106.16,"CLK12 Comdty","5/2012",105.23,"CLJ12 Comdty","4/2012",108.84
"2","CLZ12 Comdty","12/2012",92.85,"CLX12 Comdty","11/2012",95.64,"CLV12 Comdty","10/2012",89.17,"CLU12 Comdty","9/2012",84.15,"CLQ12 Comdty","8/2012",83.56,"CLN12 Comdty","7/2012",106.5,"CLM12 Comdty","6/2012",105.76,"CLK12 Comdty","5/2012",109.27
"3","CLF13 Comdty","1/2013",93.28,"CLZ12 Comdty","12/2012",95.98,"CLX12 Comdty","11/2012",89.52,"CLV12 Comdty","10/2012",84.54,"CLU12 Comdty","9/2012",83.89,"CLQ12 Comdty","8/2012",106.74,"CLN12 Comdty","7/2012",106.27,"CLM12 Comdty","6/2012",109.68
"4","CLG13 Comdty","2/2013",93.7,"CLF13 Comdty","1/2013",96.43,"CLZ12 Comdty","12/2012",89.99,"CLX12 Comdty","11/2012",84.98,"CLV12 Comdty","10/2012",84.2,"CLU12 Comdty","9/2012",106.86,"CLQ12 Comdty","8/2012",106.67,"CLN12 Comdty","7/2012",109.93
"5","CLH13 Comdty","3/2013",94.04,"CLG13 Comdty","2/2013",96.83,"CLF13 Comdty","1/2013",90.47,"CLZ12 Comdty","12/2012",85.43,"CLX12 Comdty","11/2012",84.46,"CLV12 Comdty","10/2012",106.92,"CLU12 Comdty","9/2012",106.98,"CLQ12 Comdty","8/2012",109.94
"6","CLJ13 Comdty","4/2013",94.27,"CLH13 Comdty","3/2013",97.14,"CLG13 Comdty","2/2013",90.85,"CLF13 Comdty","1/2013",85.86,"CLZ12 Comdty","12/2012",84.71,"CLX12 Comdty","11/2012",106.98,"CLV12 Comdty","10/2012",107.2,"CLU12 Comdty","9/2012",109.8
"7","CLK13 Comdty","5/2013",94.42,"CLJ13 Comdty","4/2013",97.3,"CLH13 Comdty","3/2013",91.1,"CLG13 Comdty","2/2013",86.23,"CLF13 Comdty","1/2013",84.95,"CLZ12 Comdty","12/2012",107.02,"CLX12 Comdty","11/2012",107.37,"CLV12 Comdty","10/2012",109.6
"8","CLM13 Comdty","6/2013",94.45,"CLK13 Comdty","5/2013",97.34,"CLJ13 Comdty","4/2013",91.23,"CLH13 Comdty","3/2013",86.54,"CLG13 Comdty","2/2013",85.14,"CLF13 Comdty","1/2013",107.04,"CLZ12 Comdty","12/2012",107.51,"CLX12 Comdty","11/2012",109.39
"9","CLN13 Comdty","7/2013",94.38,"CLM13 Comdty","6/2013",97.26,"CLK13 Comdty","5/2013",91.27,"CLJ13 Comdty","4/2013",86.74,"CLH13 Comdty","3/2013",85.28,"CLG13 Comdty","2/2013",106.92,"CLF13 Comdty","1/2013",107.58,"CLZ12 Comdty","12/2012",109.19
"10","CLQ13 Comdty","8/2013",94.26,"CLN13 Comdty","7/2013",97.1,"CLM13 Comdty","6/2013",91.28,"CLK13 Comdty","5/2013",86.89,"CLJ13 Comdty","4/2013",85.35,"CLH13 Comdty","3/2013",106.69,"CLG13 Comdty","2/2013",107.54,"CLF13 Comdty","1/2013",108.92
"11","CLU13 Comdty","9/2013",94.13,"CLQ13 Comdty","8/2013",96.89,"CLN13 Comdty","7/2013",91.28,"CLM13 Comdty","6/2013",86.99,"CLK13 Comdty","5/2013",85.42,"CLJ13 Comdty","4/2013",106.35,"CLH13 Comdty","3/2013",107.4,"CLG13 Comdty","2/2013",108.57
"12","CLV13 Comdty","10/2013",93.97,"CLU13 Comdty","9/2013",96.61,"CLQ13 Comdty","8/2013",91.25,"CLN13 Comdty","7/2013",87.03,"CLM13 Comdty","6/2013",85.48,"CLK13 Comdty","5/2013",105.91,"CLJ13 Comdty","4/2013",107.14,"CLH13 Comdty","3/2013",108.11
"13","CLX13 Comdty","11/2013",93.84,"CLV13 Comdty","10/2013",96.32,"CLU13 Comdty","9/2013",91.22,"CLQ13 Comdty","8/2013",86.99,"CLN13 Comdty","7/2013",85.48,"CLM13 Comdty","6/2013",105.47,"CLK13 Comdty","5/2013",106.81,"CLJ13 Comdty","4/2013",107.57
"14","CLZ13 Comdty","12/2013",93.71,"CLX13 Comdty","11/2013",96.03,"CLV13 Comdty","10/2013",91.18,"CLU13 Comdty","9/2013",86.91,"CLQ13 Comdty","8/2013",85.46,"CLN13 Comdty","7/2013",104.98,"CLM13 Comdty","6/2013",106.49,"CLK13 Comdty","5/2013",106.99
"15","CLF14 Comdty","1/2014",93.44,"CLZ13 Comdty","12/2013",95.76,"CLX13 Comdty","11/2013",91.15,"CLV13 Comdty","10/2013",86.83,"CLU13 Comdty","9/2013",85.48,"CLQ13 Comdty","8/2013",104.5,"CLN13 Comdty","7/2013",106.07,"CLM13 Comdty","6/2013",106.38
"16","CLG14 Comdty","2/2014",93.2,"CLF14 Comdty","1/2014",95.39,"CLZ13 Comdty","12/2013",91.09,"CLX13 Comdty","11/2013",86.75,"CLV13 Comdty","10/2013",85.5,"CLU13 Comdty","9/2013",104.06,"CLQ13 Comdty","8/2013",105.66,"CLN13 Comdty","7/2013",105.74
"17","CLH14 Comdty","3/2014",92.93,"CLG14 Comdty","2/2014",95.07,"CLF14 Comdty","1/2014",90.93,"CLZ13 Comdty","12/2013",86.69,"CLX13 Comdty","11/2013",85.51,"CLV13 Comdty","10/2013",103.67,"CLU13 Comdty","9/2013",105.3,"CLQ13 Comdty","8/2013",105.15
"18","CLJ14 Comdty","4/2014",92.7,"CLH14 Comdty","3/2014",94.74,"CLG14 Comdty","2/2014",90.78,"CLF14 Comdty","1/2014",86.54,"CLZ13 Comdty","12/2013",85.55,"CLX13 Comdty","11/2013",103.28,"CLV13 Comdty","10/2013",105,"CLU13 Comdty","9/2013",104.62
"19","CLK14 Comdty","5/2014",92.48,"CLJ14 Comdty","4/2014",94.44,"CLH14 Comdty","3/2014",90.62,"CLG14 Comdty","2/2014",86.44,"CLF14 Comdty","1/2014",85.48,"CLZ13 Comdty","12/2013",102.92,"CLX13 Comdty","11/2013",104.66,"CLV13 Comdty","10/2013",104.13
"20","CLM14 Comdty","6/2014",92.27,"CLK14 Comdty","5/2014",94.14,"CLJ14 Comdty","4/2014",90.47,"CLH14 Comdty","3/2014",86.34,"CLG14 Comdty","2/2014",85.44,"CLF14 Comdty","1/2014",102.37,"CLZ13 Comdty","12/2013",104.35,"CLX13 Comdty","11/2013",103.65
"21","CLN14 Comdty","7/2014",92.02,"CLM14 Comdty","6/2014",93.84,"CLK14 Comdty","5/2014",90.35,"CLJ14 Comdty","4/2014",86.24,"CLH14 Comdty","3/2014",85.4,"CLG14 Comdty","2/2014",101.85,"CLF14 Comdty","1/2014",103.84,"CLZ13 Comdty","12/2013",103.24
"22","CLQ4 Comdty","8/2014",91.8,"CLN14 Comdty","7/2014",93.48,"CLM14 Comdty","6/2014",90.24,"CLK14 Comdty","5/2014",86.13,"CLJ14 Comdty","4/2014",85.37,"CLH14 Comdty","3/2014",101.33,"CLG14 Comdty","2/2014",103.35,"CLF14 Comdty","1/2014",102.65
"23","CLU4 Comdty","9/2014",91.61,"CLQ4 Comdty","8/2014",93.18,"CLN14 Comdty","7/2014",90.08,"CLM14 Comdty","6/2014",86.02,"CLK14 Comdty","5/2014",85.34,"CLJ14 Comdty","4/2014",100.81,"CLH14 Comdty","3/2014",102.88,"CLG14 Comdty","2/2014",102.09
"24","CLV4 Comdty","10/2014",91.45,"CLU4 Comdty","9/2014",92.91,"CLQ4 Comdty","8/2014",89.93,"CLN14 Comdty","7/2014",85.9,"CLM14 Comdty","6/2014",85.32,"CLK14 Comdty","5/2014",100.3,"CLJ14 Comdty","4/2014",102.43,"CLH14 Comdty","3/2014",101.52
"25","CLX4 Comdty","11/2014",91.33,"CLV4 Comdty","10/2014",92.68,"CLU4 Comdty","9/2014",89.81,"CLQ4 Comdty","8/2014",85.79,"CLN14 Comdty","7/2014",85.28,"CLM14 Comdty","6/2014",99.83,"CLK14 Comdty","5/2014",101.99,"CLJ14 Comdty","4/2014",100.95
"26","CLZ4 Comdty","12/2014",91.25,"CLX4 Comdty","11/2014",92.48,"CLV4 Comdty","10/2014",89.74,"CLU4 Comdty","9/2014",85.69,"CLQ4 Comdty","8/2014",85.24,"CLN14 Comdty","7/2014",99.31,"CLM14 Comdty","6/2014",101.58,"CLK14 Comdty","5/2014",100.43
"27","CLF5 Comdty","1/2015",90.99,"CLZ4 Comdty","12/2014",92.33,"CLX4 Comdty","11/2014",89.69,"CLV4 Comdty","10/2014",85.63,"CLU4 Comdty","9/2014",85.23,"CLQ4 Comdty","8/2014",98.83,"CLN14 Comdty","7/2014",101.12,"CLM14 Comdty","6/2014",99.91
"28","CLG5 Comdty","2/2015",90.74,"CLF5 Comdty","1/2015",92,"CLZ4 Comdty","12/2014",89.67,"CLX4 Comdty","11/2014",85.61,"CLV4 Comdty","10/2014",85.25,"CLU4 Comdty","9/2014",98.41,"CLQ4 Comdty","8/2014",100.68,"CLN14 Comdty","7/2014",99.39
"29","CLH5 Comdty","3/2015",90.49,"CLG5 Comdty","2/2015",91.68,"CLF5 Comdty","1/2015",89.53,"CLZ4 Comdty","12/2014",85.6,"CLX4 Comdty","11/2014",85.3,"CLV4 Comdty","10/2014",98,"CLU4 Comdty","9/2014",100.31,"CLQ4 Comdty","8/2014",98.88
"30","CLJ5 Comdty","4/2015",90.25,"CLH5 Comdty","3/2015",91.37,"CLG5 Comdty","2/2015",89.4,"CLF5 Comdty","1/2015",85.45,"CLZ4 Comdty","12/2014",85.38,"CLX4 Comdty","11/2014",97.66,"CLV4 Comdty","10/2014",99.95,"CLU4 Comdty","9/2014",98.37
"31","CLK5 Comdty","5/2015",90.05,"CLJ5 Comdty","4/2015",91.08,"CLH5 Comdty","3/2015",89.28,"CLG5 Comdty","2/2015",85.32,"CLF5 Comdty","1/2015",85.28,"CLZ4 Comdty","12/2014",97.38,"CLX4 Comdty","11/2014",99.66,"CLV4 Comdty","10/2014",97.9
"32","CLM5 Comdty","6/2015",89.88,"CLK5 Comdty","5/2015",90.82,"CLJ5 Comdty","4/2015",89.19,"CLH5 Comdty","3/2015",85.21,"CLG5 Comdty","2/2015",85.18,"CLF5 Comdty","1/2015",96.92,"CLZ4 Comdty","12/2014",99.43,"CLX4 Comdty","11/2014",97.51
"33","CLN5 Comdty","7/2015",89.71,"CLM5 Comdty","6/2015",90.61,"CLK5 Comdty","5/2015",89.1,"CLJ5 Comdty","4/2015",85.13,"CLH5 Comdty","3/2015",85.11,"CLG5 Comdty","2/2015",96.47,"CLF5 Comdty","1/2015",99.07,"CLZ4 Comdty","12/2014",97.18
"34","CLQ5 Comdty","8/2015",89.55,"CLN5 Comdty","7/2015",90.36,"CLM5 Comdty","6/2015",89.03,"CLK5 Comdty","5/2015",85.06,"CLJ5 Comdty","4/2015",85.05,"CLH5 Comdty","3/2015",96.02,"CLG5 Comdty","2/2015",98.72,"CLF5 Comdty","1/2015",96.81
"35","CLU5 Comdty","9/2015",89.41,"CLQ5 Comdty","8/2015",90.14,"CLN5 Comdty","7/2015",88.98,"CLM5 Comdty","6/2015",85,"CLK5 Comdty","5/2015",85.02,"CLJ5 Comdty","4/2015",95.58,"CLH5 Comdty","3/2015",98.37,"CLG5 Comdty","2/2015",96.45
"36","CLV5 Comdty","10/2015",89.29,"CLU5 Comdty","9/2015",89.95,"CLQ5 Comdty","8/2015",88.95,"CLN5 Comdty","7/2015",84.95,"CLM5 Comdty","6/2015",85,"CLK5 Comdty","5/2015",95.17,"CLJ5 Comdty","4/2015",98.03,"CLH5 Comdty","3/2015",96.09
"37","CLX5 Comdty","11/2015",89.18,"CLV5 Comdty","10/2015",89.77,"CLU5 Comdty","9/2015",88.92,"CLQ5 Comdty","8/2015",84.92,"CLN5 Comdty","7/2015",85.01,"CLM5 Comdty","6/2015",94.8,"CLK5 Comdty","5/2015",97.7,"CLJ5 Comdty","4/2015",95.74
"38","CLZ5 Comdty","12/2015",89.09,"CLX5 Comdty","11/2015",89.6,"CLV5 Comdty","10/2015",88.91,"CLU5 Comdty","9/2015",84.9,"CLQ5 Comdty","8/2015",85.04,"CLN5 Comdty","7/2015",94.46,"CLM5 Comdty","6/2015",97.38,"CLK5 Comdty","5/2015",95.39
"39","CLF6 Comdty","1/2016",88.96,"CLZ5 Comdty","12/2015",89.44,"CLX5 Comdty","11/2015",88.91,"CLV5 Comdty","10/2015",84.9,"CLU5 Comdty","9/2015",85.08,"CLQ5 Comdty","8/2015",94.12,"CLN5 Comdty","7/2015",97.09,"CLM5 Comdty","6/2015",95.06
"40","CLG6 Comdty","2/2016",88.83,"CLF6 Comdty","1/2016",89.24,"CLZ5 Comdty","12/2015",88.92,"CLX5 Comdty","11/2015",84.91,"CLV5 Comdty","10/2015",85.12,"CLU5 Comdty","9/2015",93.79,"CLQ5 Comdty","8/2015",96.83,"CLN5 Comdty","7/2015",94.74
"41","CLH6 Comdty","3/2016",88.7,"CLG6 Comdty","2/2016",89.05,"CLF6 Comdty","1/2016",88.86,"CLZ5 Comdty","12/2015",84.93,"CLX5 Comdty","11/2015",85.17,"CLV5 Comdty","10/2015",93.46,"CLU5 Comdty","9/2015",96.58,"CLQ5 Comdty","8/2015",94.44
"42","CLJ6 Comdty","4/2016",88.58,"CLH6 Comdty","3/2016",88.86,"CLG6 Comdty","2/2016",88.82,"CLF6 Comdty","1/2016",84.86,"CLZ5 Comdty","12/2015",85.22,"CLX5 Comdty","11/2015",93.14,"CLV5 Comdty","10/2015",96.35,"CLU5 Comdty","9/2015",94.15
"43","CLK6 Comdty","5/2016",88.47,"CLJ6 Comdty","4/2016",88.68,"CLH6 Comdty","3/2016",88.78,"CLG6 Comdty","2/2016",84.8,"CLF6 Comdty","1/2016",85.19,"CLZ5 Comdty","12/2015",92.82,"CLX5 Comdty","11/2015",96.13,"CLV5 Comdty","10/2015",93.87
"44","CLM6 Comdty","6/2016",88.37,"CLK6 Comdty","5/2016",88.51,"CLJ6 Comdty","4/2016",88.75,"CLH6 Comdty","3/2016",84.74,"CLG6 Comdty","2/2016",85.16,"CLF6 Comdty","1/2016",92.52,"CLZ5 Comdty","12/2015",95.93,"CLX5 Comdty","11/2015",93.61
"45","CLN6 Comdty","7/2016",88.27,"CLM6 Comdty","6/2016",88.35,"CLK6 Comdty","5/2016",88.72,"CLJ6 Comdty","4/2016",84.69,"CLH6 Comdty","3/2016",85.14,"CLG6 Comdty","2/2016",92.23,"CLF6 Comdty","1/2016",95.75,"CLZ5 Comdty","12/2015",93.36
"46","CLQ6 Comdty","8/2016",88.18,"CLN6 Comdty","7/2016",88.19,"CLM6 Comdty","6/2016",88.69,"CLK6 Comdty","5/2016",84.64,"CLJ6 Comdty","4/2016",85.13,"CLH6 Comdty","3/2016",91.94,"CLG6 Comdty","2/2016",95.57,"CLF6 Comdty","1/2016",93.17
"47","CLU6 Comdty","9/2016",88.1,"CLQ6 Comdty","8/2016",88.04,"CLN6 Comdty","7/2016",88.67,"CLM6 Comdty","6/2016",84.59,"CLK6 Comdty","5/2016",85.12,"CLJ6 Comdty","4/2016",91.65,"CLH6 Comdty","3/2016",95.39,"CLG6 Comdty","2/2016",92.99
"48","CLV6 Comdty","10/2016",88.02,"CLU6 Comdty","9/2016",87.89,"CLQ6 Comdty","8/2016",88.66,"CLN6 Comdty","7/2016",84.54,"CLM6 Comdty","6/2016",85.11,"CLK6 Comdty","5/2016",91.36,"CLJ6 Comdty","4/2016",95.22,"CLH6 Comdty","3/2016",92.81
"49","CLX6 Comdty","11/2016",87.94,"CLV6 Comdty","10/2016",87.74,"CLU6 Comdty","9/2016",88.65,"CLQ6 Comdty","8/2016",84.5,"CLN6 Comdty","7/2016",85.11,"CLM6 Comdty","6/2016",91.08,"CLK6 Comdty","5/2016",95.05,"CLJ6 Comdty","4/2016",92.63
"50","CLZ6 Comdty","12/2016",87.86,"CLX6 Comdty","11/2016",87.59,"CLV6 Comdty","10/2016",88.64,"CLU6 Comdty","9/2016",84.46,"CLQ6 Comdty","8/2016",85.11,"CLN6 Comdty","7/2016",90.8,"CLM6 Comdty","6/2016",94.89,"CLK6 Comdty","5/2016",92.45
"51","CLF7 Comdty","1/2017",87.8,"CLZ6 Comdty","12/2016",87.45,"CLX6 Comdty","11/2016",88.64,"CLV6 Comdty","10/2016",84.43,"CLU6 Comdty","9/2016",85.11,"CLQ6 Comdty","8/2016",90.53,"CLN6 Comdty","7/2016",94.73,"CLM6 Comdty","6/2016",92.27
"52","CLG7 Comdty","2/2017",87.74,"CLF7 Comdty","1/2017",87.35,"CLZ6 Comdty","12/2016",88.65,"CLX6 Comdty","11/2016",84.4,"CLV6 Comdty","10/2016",85.12,"CLU6 Comdty","9/2016",90.27,"CLQ6 Comdty","8/2016",94.57,"CLN6 Comdty","7/2016",92.1
"53","CLH7 Comdty","3/2017",87.69,"CLG7 Comdty","2/2017",87.26,"CLF7 Comdty","1/2017",88.66,"CLZ6 Comdty","12/2016",84.39,"CLX6 Comdty","11/2016",85.13,"CLV6 Comdty","10/2016",90.01,"CLU6 Comdty","9/2016",94.42,"CLQ6 Comdty","8/2016",91.93
"54","CLJ7 Comdty","4/2017",87.64,"CLH7 Comdty","3/2017",87.18,"CLG7 Comdty","2/2017",88.68,"CLF7 Comdty","1/2017",84.35,"CLZ6 Comdty","12/2016",85.14,"CLX6 Comdty","11/2016",89.76,"CLV6 Comdty","10/2016",94.27,"CLU6 Comdty","9/2016",91.77
"55","CLK7 Comdty","5/2017",87.6,"CLJ7 Comdty","4/2017",87.11,"CLH7 Comdty","3/2017",88.7,"CLG7 Comdty","2/2017",84.31,"CLF7 Comdty","1/2017",85.13,"CLZ6 Comdty","12/2016",89.51,"CLX6 Comdty","11/2016",94.13,"CLV6 Comdty","10/2016",91.61
"56","CLM7 Comdty","6/2017",87.56,"CLK7 Comdty","5/2017",87.04,"CLJ7 Comdty","4/2017",88.72,"CLH7 Comdty","3/2017",84.28,"CLG7 Comdty","2/2017",85.13,"CLF7 Comdty","1/2017",89.36,"CLZ6 Comdty","12/2016",93.99,"CLX6 Comdty","11/2016",91.45
"57","CLN7 Comdty","7/2017",87.53,"CLM7 Comdty","6/2017",86.97,"CLK7 Comdty","5/2017",88.74,"CLJ7 Comdty","4/2017",84.25,"CLH7 Comdty","3/2017",85.13,"CLG7 Comdty","2/2017",89.21,"CLF7 Comdty","1/2017",93.89,"CLZ6 Comdty","12/2016",91.3
"58","CLQ7 Comdty","8/2017",87.5,"CLN7 Comdty","7/2017",86.9,"CLM7 Comdty","6/2017",88.76,"CLK7 Comdty","5/2017",84.22,"CLJ7 Comdty","4/2017",85.14,"CLH7 Comdty","3/2017",89.07,"CLG7 Comdty","2/2017",93.79,"CLF7 Comdty","1/2017",91.16
"59","CLU7 Comdty","9/2017",87.47,"CLQ7 Comdty","8/2017",86.83,"CLN7 Comdty","7/2017",88.79,"CLM7 Comdty","6/2017",84.19,"CLK7 Comdty","5/2017",85.15,"CLJ7 Comdty","4/2017",88.93,"CLH7 Comdty","3/2017",93.69,"CLG7 Comdty","2/2017",91.02
"60","CLV7 Comdty","10/2017",87.44,"CLU7 Comdty","9/2017",86.77,"CLQ7 Comdty","8/2017",88.82,"CLN7 Comdty","7/2017",84.17,"CLM7 Comdty","6/2017",85.16,"CLK7 Comdty","5/2017",88.79,"CLJ7 Comdty","4/2017",93.6,"CLH7 Comdty","3/2017",90.89
