"","Ticker","Period","Last_Price","Ticker.1","Period.1","Last_Price.1","Ticker.2","Period.2","Last_Price.2","Ticker.3","Period.3","Last_Price.3","Ticker.4","Period.4","Last_Price.4","Ticker.5","Period.5","Last_Price.5","Ticker.6","Period.6","Last_Price.6","Ticker.7","Period.7","Last_Price.7"
"1","CLM03 Comdty","6/2003",26.03,"CLK03 Comdty","5/2003",29.78,"CLJ03 Comdty","4/2003",35.88,"CLH03 Comdty","3/2003",32.76,"CLG03 Comdty","2/2003",31.85,"CLF03 Comdty","1/2003",27.24,"CLZ02 Comdty","12/2002",27.13,"CLX02 Comdty","11/2002",30.83
"2","CLN03 Comdty","7/2003",25.84,"CLM03 Comdty","6/2003",28.23,"CLK03 Comdty","5/2003",34.24,"CLJ03 Comdty","4/2003",32.16,"CLH03 Comdty","3/2003",31.1,"CLG03 Comdty","2/2003",27.04,"CLF03 Comdty","1/2003",26.71,"CLZ02 Comdty","12/2002",30.48
"3","CLQ03 Comdty","8/2003",25.65,"CLN03 Comdty","7/2003",27.42,"CLM03 Comdty","6/2003",32.85,"CLK03 Comdty","5/2003",31.34,"CLJ03 Comdty","4/2003",29.91,"CLH03 Comdty","3/2003",26.71,"CLG03 Comdty","2/2003",26.35,"CLF03 Comdty","1/2003",29.97
"4","CLU03 Comdty","9/2003",25.47,"CLQ03 Comdty","8/2003",26.98,"CLN03 Comdty","7/2003",31.68,"CLM03 Comdty","6/2003",30.52,"CLK03 Comdty","5/2003",28.84,"CLJ03 Comdty","4/2003",26.36,"CLH03 Comdty","3/2003",26.02,"CLG03 Comdty","2/2003",29.34
"5","CLV03 Comdty","10/2003",25.32,"CLU03 Comdty","9/2003",26.67,"CLQ03 Comdty","8/2003",30.76,"CLN03 Comdty","7/2003",29.7,"CLM03 Comdty","6/2003",27.81,"CLK03 Comdty","5/2003",26.01,"CLJ03 Comdty","4/2003",25.69,"CLH03 Comdty","3/2003",28.61
"6","CLX03 Comdty","11/2003",25.2,"CLV03 Comdty","10/2003",26.42,"CLU03 Comdty","9/2003",30.05,"CLQ03 Comdty","8/2003",28.96,"CLN03 Comdty","7/2003",26.97,"CLM03 Comdty","6/2003",25.67,"CLK03 Comdty","5/2003",25.36,"CLJ03 Comdty","4/2003",27.89
"7","CLZ03 Comdty","12/2003",25.1,"CLX03 Comdty","11/2003",26.17,"CLV03 Comdty","10/2003",29.51,"CLU03 Comdty","9/2003",28.38,"CLQ03 Comdty","8/2003",26.27,"CLN03 Comdty","7/2003",25.33,"CLM03 Comdty","6/2003",25.04,"CLK03 Comdty","5/2003",27.19
"8","CLF04 Comdty","1/2004",25,"CLZ03 Comdty","12/2003",25.92,"CLX03 Comdty","11/2003",29.05,"CLV03 Comdty","10/2003",27.93,"CLU03 Comdty","9/2003",25.76,"CLQ03 Comdty","8/2003",25,"CLN03 Comdty","7/2003",24.75,"CLM03 Comdty","6/2003",26.54
"9","CLG04 Comdty","2/2004",24.9,"CLF04 Comdty","1/2004",25.67,"CLZ03 Comdty","12/2003",28.65,"CLX03 Comdty","11/2003",27.56,"CLV03 Comdty","10/2003",25.34,"CLU03 Comdty","9/2003",24.72,"CLQ03 Comdty","8/2003",24.49,"CLN03 Comdty","7/2003",25.99
"10","CLH04 Comdty","3/2004",24.8,"CLG04 Comdty","2/2004",25.42,"CLF04 Comdty","1/2004",28.14,"CLZ03 Comdty","12/2003",27.22,"CLX03 Comdty","11/2003",24.98,"CLV03 Comdty","10/2003",24.47,"CLU03 Comdty","9/2003",24.27,"CLQ03 Comdty","8/2003",25.56
"11","CLJ04 Comdty","4/2004",24.7,"CLH04 Comdty","3/2004",25.17,"CLG04 Comdty","2/2004",27.67,"CLF04 Comdty","1/2004",26.79,"CLZ03 Comdty","12/2003",24.68,"CLX03 Comdty","11/2003",24.28,"CLV03 Comdty","10/2003",24.05,"CLU03 Comdty","9/2003",25.21
