"","Ticker","Period","Last_Price","Ticker.1","Period.1","Last_Price.1","Ticker.2","Period.2","Last_Price.2","Ticker.3","Period.3","Last_Price.3","Ticker.4","Period.4","Last_Price.4","Ticker.5","Period.5","Last_Price.5","Ticker.6","Period.6","Last_Price.6","Ticker.7","Period.7","Last_Price.7"
"1","CLV02 Comdty","10/2002",27.79,"CLU02 Comdty","9/2002",26.47,"CLQ02 Comdty","8/2002",26.81,"CLN02 Comdty","7/2002",25.08,"CLM02 Comdty","6/2002",26.75,"CLK02 Comdty","5/2002",26.88,"CLJ02 Comdty","4/2002",22.4,"CLH02 Comdty","3/2002",20.38
"2","CLX02 Comdty","11/2002",27.79,"CLV02 Comdty","10/2002",26.06,"CLU02 Comdty","9/2002",26.74,"CLQ02 Comdty","8/2002",25.26,"CLN02 Comdty","7/2002",26.43,"CLM02 Comdty","6/2002",27.01,"CLK02 Comdty","5/2002",22.64,"CLJ02 Comdty","4/2002",20.63
"3","CLZ02 Comdty","12/2002",27.65,"CLX02 Comdty","11/2002",25.84,"CLV02 Comdty","10/2002",26.48,"CLU02 Comdty","9/2002",25.11,"CLQ02 Comdty","8/2002",26.18,"CLN02 Comdty","7/2002",26.91,"CLM02 Comdty","6/2002",22.71,"CLK02 Comdty","5/2002",20.84
"4","CLF03 Comdty","1/2003",27.38,"CLZ02 Comdty","12/2002",25.66,"CLX02 Comdty","11/2002",26.25,"CLV02 Comdty","10/2002",24.93,"CLU02 Comdty","9/2002",25.94,"CLQ02 Comdty","8/2002",26.64,"CLN02 Comdty","7/2002",22.64,"CLM02 Comdty","6/2002",20.96
"5","CLG03 Comdty","2/2003",27.06,"CLF03 Comdty","1/2003",25.44,"CLZ02 Comdty","12/2002",26.03,"CLX02 Comdty","11/2002",24.76,"CLV02 Comdty","10/2002",25.71,"CLU02 Comdty","9/2002",26.37,"CLQ02 Comdty","8/2002",22.56,"CLN02 Comdty","7/2002",20.97
"6","CLH03 Comdty","3/2003",26.74,"CLG03 Comdty","2/2003",25.24,"CLF03 Comdty","1/2003",25.79,"CLZ02 Comdty","12/2002",24.59,"CLX02 Comdty","11/2002",25.49,"CLV02 Comdty","10/2002",26.09,"CLU02 Comdty","9/2002",22.48,"CLQ02 Comdty","8/2002",20.98
"7","CLJ03 Comdty","4/2003",26.42,"CLH03 Comdty","3/2003",25.05,"CLG03 Comdty","2/2003",25.57,"CLF03 Comdty","1/2003",24.4,"CLZ02 Comdty","12/2002",25.27,"CLX02 Comdty","11/2002",25.81,"CLV02 Comdty","10/2002",22.42,"CLU02 Comdty","9/2002",20.99
"8","CLK03 Comdty","5/2003",26.12,"CLJ03 Comdty","4/2003",24.86,"CLH03 Comdty","3/2003",25.36,"CLG03 Comdty","2/2003",24.24,"CLF03 Comdty","1/2003",25.04,"CLZ02 Comdty","12/2002",25.53,"CLX02 Comdty","11/2002",22.36,"CLV02 Comdty","10/2002",21
"9","CLM03 Comdty","6/2003",25.82,"CLK03 Comdty","5/2003",24.68,"CLJ03 Comdty","4/2003",25.16,"CLH03 Comdty","3/2003",24.08,"CLG03 Comdty","2/2003",24.82,"CLF03 Comdty","1/2003",25.26,"CLZ02 Comdty","12/2002",22.3,"CLX02 Comdty","11/2002",21.01
"10","CLN03 Comdty","7/2003",25.53,"CLM03 Comdty","6/2003",24.5,"CLK03 Comdty","5/2003",24.96,"CLJ03 Comdty","4/2003",23.93,"CLH03 Comdty","3/2003",24.61,"CLG03 Comdty","2/2003",24.99,"CLF03 Comdty","1/2003",22.24,"CLZ02 Comdty","12/2002",21.02
"11","CLQ03 Comdty","8/2003",25.27,"CLN03 Comdty","7/2003",24.35,"CLM03 Comdty","6/2003",24.77,"CLK03 Comdty","5/2003",23.78,"CLJ03 Comdty","4/2003",24.42,"CLH03 Comdty","3/2003",24.74,"CLG03 Comdty","2/2003",22.18,"CLF03 Comdty","1/2003",21.04
"12","CLU03 Comdty","9/2003",25.04,"CLQ03 Comdty","8/2003",24.21,"CLN03 Comdty","7/2003",24.58,"CLM03 Comdty","6/2003",23.63,"CLK03 Comdty","5/2003",24.23,"CLJ03 Comdty","4/2003",24.51,"CLH03 Comdty","3/2003",22.13,"CLG03 Comdty","2/2003",21.06
"13","CLV03 Comdty","10/2003",24.82,"CLU03 Comdty","9/2003",24.08,"CLQ03 Comdty","8/2003",24.41,"CLN03 Comdty","7/2003",23.49,"CLM03 Comdty","6/2003",24.07,"CLK03 Comdty","5/2003",24.3,"CLJ03 Comdty","4/2003",22.08,"CLH03 Comdty","3/2003",21.08
"14","CLX03 Comdty","11/2003",24.62,"CLV03 Comdty","10/2003",23.95,"CLU03 Comdty","9/2003",24.26,"CLQ03 Comdty","8/2003",23.38,"CLN03 Comdty","7/2003",23.94,"CLM03 Comdty","6/2003",24.13,"CLK03 Comdty","5/2003",22.03,"CLJ03 Comdty","4/2003",21.1
"15","CLZ03 Comdty","12/2003",24.45,"CLX03 Comdty","11/2003",23.83,"CLV03 Comdty","10/2003",24.11,"CLU03 Comdty","9/2003",23.28,"CLQ03 Comdty","8/2003",23.82,"CLN03 Comdty","7/2003",23.98,"CLM03 Comdty","6/2003",21.98,"CLK03 Comdty","5/2003",21.12
"16","CLF04 Comdty","1/2004",24.33,"CLZ03 Comdty","12/2003",23.72,"CLX03 Comdty","11/2003",23.99,"CLV03 Comdty","10/2003",23.19,"CLU03 Comdty","9/2003",23.71,"CLQ03 Comdty","8/2003",23.85,"CLN03 Comdty","7/2003",21.93,"CLM03 Comdty","6/2003",21.14
"17","CLG04 Comdty","2/2004",24.24,"CLF04 Comdty","1/2004",23.62,"CLZ03 Comdty","12/2003",23.88,"CLX03 Comdty","11/2003",23.1,"CLV03 Comdty","10/2003",23.61,"CLU03 Comdty","9/2003",23.73,"CLQ03 Comdty","8/2003",21.88,"CLN03 Comdty","7/2003",21.16
"18","CLH04 Comdty","3/2004",24.16,"CLG04 Comdty","2/2004",23.53,"CLF04 Comdty","1/2004",23.77,"CLZ03 Comdty","12/2003",23.01,"CLX03 Comdty","11/2003",23.51,"CLV03 Comdty","10/2003",23.61,"CLU03 Comdty","9/2003",21.84,"CLQ03 Comdty","8/2003",21.18
"19","CLJ04 Comdty","4/2004",24.08,"CLH04 Comdty","3/2004",23.44,"CLG04 Comdty","2/2004",23.67,"CLF04 Comdty","1/2004",22.92,"CLZ03 Comdty","12/2003",23.41,"CLX03 Comdty","11/2003",23.5,"CLV03 Comdty","10/2003",21.8,"CLU03 Comdty","9/2003",21.2
