"","Ticker","Period","Last_Price","Ticker.1","Period.1","Last_Price.1","Ticker.2","Period.2","Last_Price.2","Ticker.3","Period.3","Last_Price.3","Ticker.4","Period.4","Last_Price.4","Ticker.5","Period.5","Last_Price.5","Ticker.6","Period.6","Last_Price.6","Ticker.7","Period.7","Last_Price.7"
"1","CLV06 Comdty","10/2006",69.19,"CLU06 Comdty","9/2006",74.91,"CLQ06 Comdty","8/2006",73.93,"CLN06 Comdty","7/2006",70.34,"CLM06 Comdty","6/2006",73.7,"CLK06 Comdty","5/2006",66.74,"CLJ06 Comdty","4/2006",61.97,"CLH06 Comdty","3/2006",66.56
"2","CLX06 Comdty","11/2006",70.37,"CLV06 Comdty","10/2006",76.18,"CLU06 Comdty","9/2006",74.81,"CLQ06 Comdty","8/2006",71.23,"CLN06 Comdty","7/2006",75.22,"CLM06 Comdty","6/2006",68.04,"CLK06 Comdty","5/2006",63.62,"CLJ06 Comdty","4/2006",67.42
"3","CLZ06 Comdty","12/2006",71.21,"CLX06 Comdty","11/2006",76.95,"CLV06 Comdty","10/2006",75.4,"CLU06 Comdty","9/2006",71.86,"CLQ06 Comdty","8/2006",75.94,"CLN06 Comdty","7/2006",68.79,"CLM06 Comdty","6/2006",64.66,"CLK06 Comdty","5/2006",68.02
"4","CLF07 Comdty","1/2007",71.94,"CLZ06 Comdty","12/2006",77.51,"CLX06 Comdty","11/2006",75.81,"CLV06 Comdty","10/2006",72.37,"CLU06 Comdty","9/2006",76.4,"CLQ06 Comdty","8/2006",69.2,"CLN06 Comdty","7/2006",65.43,"CLM06 Comdty","6/2006",68.47
"5","CLG07 Comdty","2/2007",72.54,"CLF07 Comdty","1/2007",77.97,"CLZ06 Comdty","12/2006",76.12,"CLX06 Comdty","11/2006",72.77,"CLV06 Comdty","10/2006",76.7,"CLU06 Comdty","9/2006",69.42,"CLQ06 Comdty","8/2006",66.02,"CLN06 Comdty","7/2006",68.81
"6","CLH07 Comdty","3/2007",73.03,"CLG07 Comdty","2/2007",78.32,"CLF07 Comdty","1/2007",76.34,"CLZ06 Comdty","12/2006",73.08,"CLX06 Comdty","11/2006",76.9,"CLV06 Comdty","10/2006",69.56,"CLU06 Comdty","9/2006",66.49,"CLQ06 Comdty","8/2006",69.06
"7","CLJ07 Comdty","4/2007",73.42,"CLH07 Comdty","3/2007",78.57,"CLG07 Comdty","2/2007",76.46,"CLF07 Comdty","1/2007",73.29,"CLZ06 Comdty","12/2006",77,"CLX06 Comdty","11/2006",69.66,"CLV06 Comdty","10/2006",66.88,"CLU06 Comdty","9/2006",69.24
"8","CLK07 Comdty","5/2007",73.74,"CLJ07 Comdty","4/2007",78.75,"CLH07 Comdty","3/2007",76.52,"CLG07 Comdty","2/2007",73.42,"CLF07 Comdty","1/2007",77.01,"CLZ06 Comdty","12/2006",69.74,"CLX06 Comdty","11/2006",67.18,"CLV06 Comdty","10/2006",69.37
"9","CLM07 Comdty","6/2007",73.97,"CLK07 Comdty","5/2007",78.85,"CLJ07 Comdty","4/2007",76.5,"CLH07 Comdty","3/2007",73.49,"CLG07 Comdty","2/2007",76.97,"CLF07 Comdty","1/2007",69.79,"CLZ06 Comdty","12/2006",67.43,"CLX06 Comdty","11/2006",69.47
"10","CLN07 Comdty","7/2007",74.15,"CLM07 Comdty","6/2007",78.88,"CLK07 Comdty","5/2007",76.44,"CLJ07 Comdty","4/2007",73.5,"CLH07 Comdty","3/2007",76.91,"CLG07 Comdty","2/2007",69.83,"CLF07 Comdty","1/2007",67.63,"CLZ06 Comdty","12/2006",69.55
"11","CLQ07 Comdty","8/2007",74.28,"CLN07 Comdty","7/2007",78.86,"CLM07 Comdty","6/2007",76.32,"CLK07 Comdty","5/2007",73.46,"CLJ07 Comdty","4/2007",76.81,"CLH07 Comdty","3/2007",69.85,"CLG07 Comdty","2/2007",67.82,"CLF07 Comdty","1/2007",69.61
"12","CLU07 Comdty","9/2007",74.36,"CLQ07 Comdty","8/2007",78.82,"CLN07 Comdty","7/2007",76.19,"CLM07 Comdty","6/2007",73.38,"CLK07 Comdty","5/2007",76.69,"CLJ07 Comdty","4/2007",69.86,"CLH07 Comdty","3/2007",67.96,"CLG07 Comdty","2/2007",69.62
"13","CLV07 Comdty","10/2007",74.41,"CLU07 Comdty","9/2007",78.76,"CLQ07 Comdty","8/2007",76.05,"CLN07 Comdty","7/2007",73.26,"CLM07 Comdty","6/2007",76.54,"CLK07 Comdty","5/2007",69.83,"CLJ07 Comdty","4/2007",68.08,"CLH07 Comdty","3/2007",69.61
"14","CLX07 Comdty","11/2007",74.44,"CLV07 Comdty","10/2007",78.66,"CLU07 Comdty","9/2007",75.91,"CLQ07 Comdty","8/2007",73.13,"CLN07 Comdty","7/2007",76.36,"CLM07 Comdty","6/2007",69.8,"CLK07 Comdty","5/2007",68.15,"CLJ07 Comdty","4/2007",69.59
"15","CLZ07 Comdty","12/2007",74.44,"CLX07 Comdty","11/2007",78.54,"CLV07 Comdty","10/2007",75.76,"CLU07 Comdty","9/2007",72.99,"CLQ07 Comdty","8/2007",76.2,"CLN07 Comdty","7/2007",69.74,"CLM07 Comdty","6/2007",68.2,"CLK07 Comdty","5/2007",69.55
