"","Ticker","Period","Last_Price","Ticker.1","Period.1","Last_Price.1","Ticker.2","Period.2","Last_Price.2","Ticker.3","Period.3","Last_Price.3","Ticker.4","Period.4","Last_Price.4","Ticker.5","Period.5","Last_Price.5","Ticker.6","Period.6","Last_Price.6","Ticker.7","Period.7","Last_Price.7"
"1","CLH14 Comdty","3/2014",96.43,"CLG14 Comdty","2/2014",95.44,"CLF14 Comdty","1/2014",93.82,"CLZ13 Comdty","12/2013",94.61,"CLX13 Comdty","11/2013",102.04,"CLV13 Comdty","10/2013",108.54,"CLU13 Comdty","9/2013",107.89,"CLQ13 Comdty","8/2013",97.99
"2","CLJ14 Comdty","4/2014",95.72,"CLH14 Comdty","3/2014",95.62,"CLG14 Comdty","2/2014",94.1,"CLF14 Comdty","1/2014",94.96,"CLZ13 Comdty","12/2013",101.69,"CLX13 Comdty","11/2013",107.85,"CLV13 Comdty","10/2013",106.93,"CLU13 Comdty","9/2013",97.88
"3","CLK14 Comdty","5/2014",94.9,"CLJ14 Comdty","4/2014",95.55,"CLH14 Comdty","3/2014",94.28,"CLG14 Comdty","2/2014",95.05,"CLF14 Comdty","1/2014",100.97,"CLZ13 Comdty","12/2013",106.42,"CLX13 Comdty","11/2013",105.32,"CLV13 Comdty","10/2013",97.02
"4","CLM14 Comdty","6/2014",94.02,"CLK14 Comdty","5/2014",95.2,"CLJ14 Comdty","4/2014",94.27,"CLH14 Comdty","3/2014",94.96,"CLG14 Comdty","2/2014",100.03,"CLF14 Comdty","1/2014",104.83,"CLZ13 Comdty","12/2013",103.71,"CLX13 Comdty","11/2013",96.23
"5","CLN14 Comdty","7/2014",93.13,"CLM14 Comdty","6/2014",94.63,"CLK14 Comdty","5/2014",94.12,"CLJ14 Comdty","4/2014",94.68,"CLH14 Comdty","3/2014",99.06,"CLG14 Comdty","2/2014",103.32,"CLF14 Comdty","1/2014",102.13,"CLZ13 Comdty","12/2013",95.46
"6","CLQ4 Comdty","8/2014",92.26,"CLN14 Comdty","7/2014",93.95,"CLM14 Comdty","6/2014",93.86,"CLK14 Comdty","5/2014",94.22,"CLJ14 Comdty","4/2014",98.09,"CLH14 Comdty","3/2014",101.91,"CLG14 Comdty","2/2014",100.71,"CLF14 Comdty","1/2014",94.68
"7","CLU4 Comdty","9/2014",91.45,"CLQ4 Comdty","8/2014",93.23,"CLN14 Comdty","7/2014",93.51,"CLM14 Comdty","6/2014",93.69,"CLK14 Comdty","5/2014",97.22,"CLJ14 Comdty","4/2014",100.6,"CLH14 Comdty","3/2014",99.54,"CLG14 Comdty","2/2014",93.91
"8","CLV4 Comdty","10/2014",90.74,"CLU4 Comdty","9/2014",92.51,"CLQ4 Comdty","8/2014",93.09,"CLN14 Comdty","7/2014",93.13,"CLM14 Comdty","6/2014",96.38,"CLK14 Comdty","5/2014",99.49,"CLJ14 Comdty","4/2014",98.44,"CLH14 Comdty","3/2014",93.22
"9","CLX4 Comdty","11/2014",90.14,"CLV4 Comdty","10/2014",91.86,"CLU4 Comdty","9/2014",92.63,"CLQ4 Comdty","8/2014",92.57,"CLN14 Comdty","7/2014",95.55,"CLM14 Comdty","6/2014",98.5,"CLK14 Comdty","5/2014",97.58,"CLJ14 Comdty","4/2014",92.57
"10","CLZ4 Comdty","12/2014",89.58,"CLX4 Comdty","11/2014",91.29,"CLV4 Comdty","10/2014",92.14,"CLU4 Comdty","9/2014",92.01,"CLQ4 Comdty","8/2014",94.83,"CLN14 Comdty","7/2014",97.5,"CLM14 Comdty","6/2014",96.83,"CLK14 Comdty","5/2014",92.05
"11","CLF5 Comdty","1/2015",88.88,"CLZ4 Comdty","12/2014",90.75,"CLX4 Comdty","11/2014",91.69,"CLV4 Comdty","10/2014",91.45,"CLU4 Comdty","9/2014",94.21,"CLQ4 Comdty","8/2014",96.62,"CLN14 Comdty","7/2014",95.99,"CLM14 Comdty","6/2014",91.6
"12","CLG5 Comdty","2/2015",88.19,"CLF5 Comdty","1/2015",90.04,"CLZ4 Comdty","12/2014",91.26,"CLX4 Comdty","11/2014",90.96,"CLV4 Comdty","10/2014",93.6,"CLU4 Comdty","9/2014",95.86,"CLQ4 Comdty","8/2014",95.17,"CLN14 Comdty","7/2014",91.09
"13","CLH5 Comdty","3/2015",87.57,"CLG5 Comdty","2/2015",89.36,"CLF5 Comdty","1/2015",90.73,"CLZ4 Comdty","12/2014",90.54,"CLX4 Comdty","11/2014",93.04,"CLV4 Comdty","10/2014",95.15,"CLU4 Comdty","9/2014",94.54,"CLQ4 Comdty","8/2014",90.57
"14","CLJ5 Comdty","4/2015",87.01,"CLH5 Comdty","3/2015",88.76,"CLG5 Comdty","2/2015",90.22,"CLF5 Comdty","1/2015",90.02,"CLZ4 Comdty","12/2014",92.54,"CLX4 Comdty","11/2014",94.47,"CLV4 Comdty","10/2014",93.98,"CLU4 Comdty","9/2014",90.07
"15","CLK5 Comdty","5/2015",86.51,"CLJ5 Comdty","4/2015",88.21,"CLH5 Comdty","3/2015",89.75,"CLG5 Comdty","2/2015",89.55,"CLF5 Comdty","1/2015",91.9,"CLZ4 Comdty","12/2014",93.83,"CLX4 Comdty","11/2014",93.52,"CLV4 Comdty","10/2014",89.62
"16","CLM5 Comdty","6/2015",86.02,"CLK5 Comdty","5/2015",87.7,"CLJ5 Comdty","4/2015",89.28,"CLH5 Comdty","3/2015",89.08,"CLG5 Comdty","2/2015",91.28,"CLF5 Comdty","1/2015",93.07,"CLZ4 Comdty","12/2014",93.08,"CLX4 Comdty","11/2014",89.21
