"","Ticker","Period","Last_Price","Ticker.1","Period.1","Last_Price.1","Ticker.2","Period.2","Last_Price.2","Ticker.3","Period.3","Last_Price.3","Ticker.4","Period.4","Last_Price.4","Ticker.5","Period.5","Last_Price.5","Ticker.6","Period.6","Last_Price.6","Ticker.7","Period.7","Last_Price.7"
"1","CLV00 Comdty","10/2000",33.38,"CLU00 Comdty","9/2000",27.79,"CLQ00 Comdty","8/2000",30.67,"CLN00 Comdty","7/2000",30.14,"CLM00 Comdty","6/2000",25.87,"CLK00 Comdty","5/2000",26.43,"CLJ00 Comdty","4/2000",31.77,"CLH00 Comdty","3/2000",28.22
"2","CLX00 Comdty","11/2000",32.42,"CLV00 Comdty","10/2000",27.58,"CLU00 Comdty","9/2000",29.6,"CLQ00 Comdty","8/2000",29.31,"CLN00 Comdty","7/2000",25.6,"CLM00 Comdty","6/2000",25.94,"CLK00 Comdty","5/2000",30.01,"CLJ00 Comdty","4/2000",27.26
"3","CLZ00 Comdty","12/2000",31.79,"CLX00 Comdty","11/2000",27.44,"CLV00 Comdty","10/2000",28.9,"CLU00 Comdty","9/2000",28.71,"CLQ00 Comdty","8/2000",25.25,"CLN00 Comdty","7/2000",25.62,"CLM00 Comdty","6/2000",28.69,"CLK00 Comdty","5/2000",26.49
"4","CLF01 Comdty","1/2001",31.2,"CLZ00 Comdty","12/2000",27.25,"CLX00 Comdty","11/2000",28.35,"CLV00 Comdty","10/2000",28.2,"CLU00 Comdty","9/2000",24.95,"CLQ00 Comdty","8/2000",25.34,"CLN00 Comdty","7/2000",27.66,"CLM00 Comdty","6/2000",25.82
"5","CLG01 Comdty","2/2001",30.64,"CLF01 Comdty","1/2001",27.03,"CLZ00 Comdty","12/2000",27.88,"CLX00 Comdty","11/2000",27.72,"CLV00 Comdty","10/2000",24.67,"CLU00 Comdty","9/2000",25.06,"CLQ00 Comdty","8/2000",26.87,"CLN00 Comdty","7/2000",25.18
"6","CLH01 Comdty","3/2001",30.14,"CLG01 Comdty","2/2001",26.8,"CLF01 Comdty","1/2001",27.42,"CLZ00 Comdty","12/2000",27.26,"CLX00 Comdty","11/2000",24.39,"CLV00 Comdty","10/2000",24.77,"CLU00 Comdty","9/2000",26.19,"CLQ00 Comdty","8/2000",24.61
"7","CLJ01 Comdty","4/2001",29.67,"CLH01 Comdty","3/2001",26.56,"CLG01 Comdty","2/2001",27,"CLF01 Comdty","1/2001",26.85,"CLZ00 Comdty","12/2000",24.12,"CLX00 Comdty","11/2000",24.48,"CLV00 Comdty","10/2000",25.61,"CLU00 Comdty","9/2000",24.13
"8","CLK01 Comdty","5/2001",29.23,"CLJ01 Comdty","4/2001",26.32,"CLH01 Comdty","3/2001",26.6,"CLG01 Comdty","2/2001",26.47,"CLF01 Comdty","1/2001",23.86,"CLZ00 Comdty","12/2000",24.18,"CLX00 Comdty","11/2000",25.12,"CLV00 Comdty","10/2000",23.66
"9","CLM01 Comdty","6/2001",28.81,"CLK01 Comdty","5/2001",26.08,"CLJ01 Comdty","4/2001",26.21,"CLH01 Comdty","3/2001",26.1,"CLG01 Comdty","2/2001",23.6,"CLF01 Comdty","1/2001",23.86,"CLZ00 Comdty","12/2000",24.66,"CLX00 Comdty","11/2000",23.23
"10","CLN01 Comdty","7/2001",28.44,"CLM01 Comdty","6/2001",25.86,"CLK01 Comdty","5/2001",25.84,"CLJ01 Comdty","4/2001",25.73,"CLH01 Comdty","3/2001",23.34,"CLG01 Comdty","2/2001",23.54,"CLF01 Comdty","1/2001",24.2,"CLZ00 Comdty","12/2000",22.84
"11","CLQ01 Comdty","8/2001",28.1,"CLN01 Comdty","7/2001",25.64,"CLM01 Comdty","6/2001",25.49,"CLK01 Comdty","5/2001",25.36,"CLJ01 Comdty","4/2001",23.09,"CLH01 Comdty","3/2001",23.24,"CLG01 Comdty","2/2001",23.77,"CLF01 Comdty","1/2001",22.47
"12","CLU01 Comdty","9/2001",27.77,"CLQ01 Comdty","8/2001",25.42,"CLN01 Comdty","7/2001",25.16,"CLM01 Comdty","6/2001",24.99,"CLK01 Comdty","5/2001",22.86,"CLJ01 Comdty","4/2001",22.94,"CLH01 Comdty","3/2001",23.35,"CLG01 Comdty","2/2001",22.12
"13","CLV01 Comdty","10/2001",27.45,"CLU01 Comdty","9/2001",25.2,"CLQ01 Comdty","8/2001",24.85,"CLN01 Comdty","7/2001",24.64,"CLM01 Comdty","6/2001",22.64,"CLK01 Comdty","5/2001",22.66,"CLJ01 Comdty","4/2001",22.95,"CLH01 Comdty","3/2001",21.78
"14","CLX01 Comdty","11/2001",27.13,"CLV01 Comdty","10/2001",25,"CLU01 Comdty","9/2001",24.55,"CLQ01 Comdty","8/2001",24.32,"CLN01 Comdty","7/2001",22.42,"CLM01 Comdty","6/2001",22.42,"CLK01 Comdty","5/2001",22.58,"CLJ01 Comdty","4/2001",21.47
"15","CLZ01 Comdty","12/2001",26.83,"CLX01 Comdty","11/2001",24.8,"CLV01 Comdty","10/2001",24.27,"CLU01 Comdty","9/2001",24.03,"CLQ01 Comdty","8/2001",22.21,"CLN01 Comdty","7/2001",22.21,"CLM01 Comdty","6/2001",22.24,"CLK01 Comdty","5/2001",21.19
"16","CLF02 Comdty","1/2002",26.56,"CLZ01 Comdty","12/2001",24.6,"CLX01 Comdty","11/2001",23.99,"CLV01 Comdty","10/2001",23.75,"CLU01 Comdty","9/2001",22,"CLQ01 Comdty","8/2001",22.01,"CLN01 Comdty","7/2001",21.94,"CLM01 Comdty","6/2001",20.96
"17","CLG02 Comdty","2/2002",26.31,"CLF02 Comdty","1/2002",24.43,"CLZ01 Comdty","12/2001",23.73,"CLX01 Comdty","11/2001",23.47,"CLV01 Comdty","10/2001",21.8,"CLU01 Comdty","9/2001",21.82,"CLQ01 Comdty","8/2001",21.66,"CLN01 Comdty","7/2001",20.74
"18","CLH02 Comdty","3/2002",26.08,"CLG02 Comdty","2/2002",24.28,"CLF02 Comdty","1/2002",23.49,"CLZ01 Comdty","12/2001",23.19,"CLX01 Comdty","11/2001",21.6,"CLV01 Comdty","10/2001",21.64,"CLU01 Comdty","9/2001",21.4,"CLQ01 Comdty","8/2001",20.53
"19","CLJ02 Comdty","4/2002",25.88,"CLH02 Comdty","3/2002",24.13,"CLG02 Comdty","2/2002",23.26,"CLF02 Comdty","1/2002",22.92,"CLZ01 Comdty","12/2001",21.41,"CLX01 Comdty","11/2001",21.47,"CLV01 Comdty","10/2001",21.16,"CLU01 Comdty","9/2001",20.33
